commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;isEqualBreakingChange;isEqualDeprecated;isEqualJavaDoc
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.EurekaInfoServlet</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.EurekaInfoServlet;;;;;true;false;true;;1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.EurekaInfoServlet</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.EurekaInfoServlet;com.netflix.hystrix.dashboard.stream.EurekaInfoServlet;;;;;true;false;true;;true;true;true
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.MockStreamServlet</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.MockStreamServlet;;;;;true;false;true;;1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.MockStreamServlet</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.MockStreamServlet;com.netflix.hystrix.dashboard.stream.MockStreamServlet;;;;;true;false;true;;true;true;true
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.ProxyStreamServlet</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.ProxyStreamServlet;;;;;true;false;true;;1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.ProxyStreamServlet</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.ProxyStreamServlet;com.netflix.hystrix.dashboard.stream.ProxyStreamServlet;;;;;true;false;true;;true;true;true
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.UrlUtils</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.UrlUtils;;;;;true;false;true;;1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.UrlUtils</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.UrlUtils;com.netflix.hystrix.dashboard.stream.UrlUtils;;;;;true;false;true;;true;true;true
c9241ac1a432a3c4eaef3d83a76bf2ccf73c9342;Lost Visibility in Type;Type;<br>type <code>com.netflix.hystrix.HystrixCircuitBreaker.Factory</code><br>changed visibility from <code>public</code>to <code>default</code><br>;;com.netflix.hystrix.HystrixCircuitBreaker.Factory;;com.netflix.hystrix.HystrixCircuitBreaker.Factory;public;default;true;false;true;;c9241ac1a432a3c4eaef3d83a76bf2ccf73c9342;Lost Visibility in Type;Type;<br> type <code>com.netflix.hystrix.HystrixCircuitBreaker.Factory</code><br> changed visibility from <code>public</code> to <code>default</code><br>;;;com.netflix.hystrix.HystrixCircuitBreaker.Factory;com.netflix.hystrix.HystrixCircuitBreaker.Factory;public;default;true;false;true;;true;true;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.HystrixStream</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.HystrixStream;;;false;false;true;;e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.HystrixStream</code> added<br>;;;com.netflix.hystrix.contrib.metrics.HystrixStream;com.netflix.hystrix.contrib.metrics.HystrixStream;;;false;false;true;;true;true;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamFeature</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.HystrixStreamFeature;;;false;false;true;;e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamFeature</code> added<br>;;;com.netflix.hystrix.contrib.metrics.HystrixStreamFeature;com.netflix.hystrix.contrib.metrics.HystrixStreamFeature;;;false;false;true;;true;true;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider;;;false;false;true;;e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider</code> added<br>;;;com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider;com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider;;;false;false;true;;true;true;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.controller.AbstractHystrixStreamController</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.controller.AbstractHystrixStreamController;;;false;false;true;;e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.controller.AbstractHystrixStreamController</code> added<br>;;;com.netflix.hystrix.contrib.metrics.controller.AbstractHystrixStreamController;com.netflix.hystrix.contrib.metrics.controller.AbstractHystrixStreamController;;;false;false;true;;true;true;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController;;;false;false;true;;e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController</code> added<br>;;;com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController;com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController;;;false;false;true;;true;true;true
