category;common;onlyAPIMiner;onlyAPIDiff
Add Type;308;18;92
Remove Type;88;12;21
Add Method;569;35;246
Remove Method;179;38;222
Add Field;51;2;4
Remove Field;8;0;12
Gain Visibility in Type;5;13;10
Lost Visibility in Type;8;2;0
Gain Visibility in Method;31;21;13
Lost Visibility in Method;20;11;45
Gain Visibility in Field;8;29;21
Lost Visibility in Field;1;2;4
Add Final Modifier in Type;0;0;5
Remove Final Modifier in Type;0;0;0
Add Final Modifier in Method;3;2;0
Remove Final Modifier in Method;26;4;0
Add Final Modifier in Field;0;2;0
Remove Final Modifier in Field;0;0;0
Add Static Modifier in Type;0;0;0
Remove Static Modifier in Type;0;0;2
Add Static Modifier in Method;0;8;1
Remove Static Modifier in Method;0;2;0
Add Static Modifier in Field;0;0;0
Remove Static Modifier in Field;0;0;0
Deprecated Type;2;3;0
Deprecated Method;15;45;4
Deprecated Field;0;0;0
Change in Supertype;26;5;4
Remove Supertype;7;0;0
Add Supertype;11;1;0
Change in Exception List;14;5;0
Change in Field Default Value;3;0;3
Rename Type;13;7;9
Move Type;26;20;2
Move and Rename Type;1;1;22
Extract Supertype;0;18;0
Extract Type;0;14;0
Extract Subtype;0;5;0
Move Method;3;20;5
Extract Method;0;30;0
Rename Method;17;37;15
Pull Up Method;6;94;5
Push Down Method;6;25;0
Inline Method;0;18;7
Move and Rename Method;0;21;0
Change in Parameter List;0;155;0
Change in Return Type Method;39;37;4
Rename Field;0;6;0
Move Field;0;1;1
Pull Up Field;0;54;0
Push Down Field;0;1;1
Move and Rename Field;0;0;0
Extract Field;0;0;0
Change in Field Type;1;3;0
