commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;element;path
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.MockStreamServlet</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.MockStreamServlet;com.netflix.hystrix.dashboard.stream.MockStreamServlet;;;;;true;false;true;MockStreamServlet;com.netflix.hystrix.dashboard.stream.MockStreamServlet
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.UrlUtils</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.UrlUtils;com.netflix.hystrix.dashboard.stream.UrlUtils;;;;;true;false;true;UrlUtils;com.netflix.hystrix.dashboard.stream.UrlUtils
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.EurekaInfoServlet</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.EurekaInfoServlet;com.netflix.hystrix.dashboard.stream.EurekaInfoServlet;;;;;true;false;true;EurekaInfoServlet;com.netflix.hystrix.dashboard.stream.EurekaInfoServlet
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.ProxyStreamServlet</code> <br>was removed<br>;com.netflix.hystrix.dashboard.stream.ProxyStreamServlet;com.netflix.hystrix.dashboard.stream.ProxyStreamServlet;;;;;true;false;true;ProxyStreamServlet;com.netflix.hystrix.dashboard.stream.ProxyStreamServlet
c9241ac1a432a3c4eaef3d83a76bf2ccf73c9342;Lost Visibility in Type;Type;<br> type <code>com.netflix.hystrix.HystrixCircuitBreaker.Factory</code><br> changed visibility from <code>public</code> to <code>default</code><br>;;;com.netflix.hystrix.HystrixCircuitBreaker.Factory;com.netflix.hystrix.HystrixCircuitBreaker.Factory;public;default;true;false;true;Factory;com.netflix.hystrix.HystrixCircuitBreaker.Factory
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider</code> added<br>;;;com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider;com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider;;;false;false;true;HystrixStreamingOutputProvider;com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamFeature</code> added<br>;;;com.netflix.hystrix.contrib.metrics.HystrixStreamFeature;com.netflix.hystrix.contrib.metrics.HystrixStreamFeature;;;false;false;true;HystrixStreamFeature;com.netflix.hystrix.contrib.metrics.HystrixStreamFeature
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController</code> added<br>;;;com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController;com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController;;;false;false;true;HystrixConfigSseController;com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixMetricsStreamController</code> added<br>;;;com.netflix.hystrix.contrib.metrics.controller.HystrixMetricsStreamController;com.netflix.hystrix.contrib.metrics.controller.HystrixMetricsStreamController;;;false;false;true;HystrixMetricsStreamController;com.netflix.hystrix.contrib.metrics.controller.HystrixMetricsStreamController
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>Type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixRequestEventsSseController</code> added<br>;;;com.netflix.hystrix.contrib.metrics.controller.HystrixRequestEventsSseController;com.netflix.hystrix.contrib.metrics.controller.HystrixRequestEventsSseController;;;false;false;true;HystrixRequestEventsSseController;com.netflix.hystrix.contrib.metrics.controller.HystrixRequestEventsSseController
