commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Add Type;Type;<br>Type <code>com.netflix.hystrix.HystrixKey</code> added<br>;;;com.netflix.hystrix.HystrixKey;com.netflix.hystrix.HystrixKey;;;false;false;true
e902a38eb39ebef868902f026feaffeb0b1bbde6;Add Final Modifier in Type;Type;type <code>com.netflix.hystrix.contrib.javanica.command.MetaHolder</code><br>received the modifier <code>final</code><br>;;;com.netflix.hystrix.contrib.javanica.command.MetaHolder;com.netflix.hystrix.contrib.javanica.command.MetaHolder;;;true;false;true
5370e7bb9da9471758a307fdd461fbe74098644d;Remove Type;Type;<br>type <code>com.netflix.hystrix.metric.serial.SerialHystrixUtilization</code> <br>was removed<br>;com.netflix.hystrix.metric.serial.SerialHystrixUtilization;com.netflix.hystrix.metric.serial.SerialHystrixUtilization;;;;;true;false;false
5370e7bb9da9471758a307fdd461fbe74098644d;Add Type;Type;<br>Type <code>com.netflix.hystrix.serial.SerialHystrixUtilization</code> added<br>;;;com.netflix.hystrix.serial.SerialHystrixUtilization;com.netflix.hystrix.serial.SerialHystrixUtilization;;;false;false;false
a2ee1c49e1a5c74a5b019b8ff337a0f3b56ceb9d;Change in Supertype;Type;<br><code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet</code><br>changed the superClass<br>from <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixSampleSseServlet<HystrixDashboardStream.DashboardData></code><br>to <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixSampleSseServlet</code><br>;;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;com.netflix.hystrix.contrib.metrics.eventstream.HystrixSampleSseServlet<HystrixDashboardStream.DashboardData>;com.netflix.hystrix.contrib.metrics.eventstream.HystrixSampleSseServlet;false;false;true
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixDashboardData</code> <br>was removed<br>;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixDashboardData;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixDashboardData;;;;;true;false;false
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixMetric</code> <br>was removed<br>;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixMetric;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixMetric;;;;;true;false;false
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Add Type;Type;<br>Type <code>com.netflix.hystrix.metric.serial.SerialHystrixDashboardData</code> added<br>;;;com.netflix.hystrix.metric.serial.SerialHystrixDashboardData;com.netflix.hystrix.metric.serial.SerialHystrixDashboardData;;;false;false;false
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Add Type;Type;<br>Type <code>com.netflix.hystrix.metric.serial.SerialHystrixMetric</code> added<br>;;;com.netflix.hystrix.metric.serial.SerialHystrixMetric;com.netflix.hystrix.metric.serial.SerialHystrixMetric;;;false;false;false
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Change in Supertype;Type;<br><code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet</code><br>changed the superClass<br>from <code>com.netflix.hystrix.contrib.metrics.eventstream.HttpServlet</code><br>to <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixSampleSseServlet<HystrixDashboardStream.DashboardData></code><br>;;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;com.netflix.hystrix.contrib.metrics.eventstream.HttpServlet;com.netflix.hystrix.contrib.metrics.eventstream.HystrixSampleSseServlet<HystrixDashboardStream.DashboardData>;false;false;true
