commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.HystrixKey</code><br>from <code>com.netflix.hystrix.HystrixCommandGroupKey, com.netflix.hystrix.HystrixCommandKey, com.netflix.hystrix.HystrixThreadPoolKey</code><br>;;;;com.netflix.hystrix.HystrixKey;com.netflix.hystrix.HystrixCommandGroupKey, com.netflix.hystrix.HystrixCommandKey, com.netflix.hystrix.HystrixThreadPoolKey;;false;false;true
5370e7bb9da9471758a307fdd461fbe74098644d;Move Type;Type;<br>type <code>com.netflix.hystrix.metric.serial.SerialHystrixUtilization</code><br>moved to<br><code>com.netflix.hystrix.serial.SerialHystrixUtilization</code><br>;;com.netflix.hystrix.metric.serial.SerialHystrixUtilization;;com.netflix.hystrix.serial.SerialHystrixUtilization;;;true;false;false
a2ee1c49e1a5c74a5b019b8ff337a0f3b56ceb9d;Change in Supertype;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet</code><br>changed the superType<br>from <code>HystrixSampleSseServlet<HystrixDashboardStream.DashboardData></code><br>to <code>HystrixSampleSseServlet</code><br>;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;HystrixSampleSseServlet<HystrixDashboardStream.DashboardData>;HystrixSampleSseServlet;true;false;true
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Change in Supertype;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet</code><br>changed the superType<br>from <code>HttpServlet</code><br>to <code>HystrixSampleSseServlet<HystrixDashboardStream.DashboardData></code><br>;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;HttpServlet;HystrixSampleSseServlet<HystrixDashboardStream.DashboardData>;true;false;true
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Move Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixDashboardData</code><br>moved to<br><code>com.netflix.hystrix.metric.serial.SerialHystrixDashboardData</code><br>;;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixDashboardData;;com.netflix.hystrix.metric.serial.SerialHystrixDashboardData;;;true;false;false
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Move Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixMetric</code><br>moved to<br><code>com.netflix.hystrix.metric.serial.SerialHystrixMetric</code><br>;;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixMetric;;com.netflix.hystrix.metric.serial.SerialHystrixMetric;;;true;false;false
669ee21dccd13e239e5fede2989586acfd203565;Move Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.HystrixDashboardStream</code><br>moved to<br><code>com.netflix.hystrix.metric.consumer.HystrixDashboardStream</code><br>;;com.netflix.hystrix.contrib.reactivesocket.HystrixDashboardStream;;com.netflix.hystrix.metric.consumer.HystrixDashboardStream;;;true;false;false
669ee21dccd13e239e5fede2989586acfd203565;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.HystrixDashboardStream.DashboardData</code><br>was removed<br>;;com.netflix.hystrix.contrib.reactivesocket.HystrixDashboardStream.DashboardData;;;;;true;false;false
669ee21dccd13e239e5fede2989586acfd203565;Add Type;Type;<br>type <code>com.netflix.hystrix.metric.consumer.HystrixDashboardStream.DashboardData</code> added<br>;;;;com.netflix.hystrix.metric.consumer.HystrixDashboardStream.DashboardData;;;false;false;false
b4e3ef8675a418285c339ebd28b25929a23e663b;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.metrics.HystrixCommandMetricsStream</code><br>was removed<br>;;com.netflix.hystrix.contrib.reactivesocket.metrics.HystrixCommandMetricsStream;;;;;true;false;false
b4e3ef8675a418285c339ebd28b25929a23e663b;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.requests.HystrixRequestEventsStream</code><br>was removed<br>;;com.netflix.hystrix.contrib.reactivesocket.requests.HystrixRequestEventsStream;;;;;true;false;false
b4e3ef8675a418285c339ebd28b25929a23e663b;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixDashboardData</code> added<br>;;;;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixDashboardData;;;false;false;false
b4e3ef8675a418285c339ebd28b25929a23e663b;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixRequestEvents</code> added<br>;;;;com.netflix.hystrix.contrib.reactivesocket.serialize.SerialHystrixRequestEvents;;;false;false;false
bdfd8f82509db9dc488c0a18040e6dd7ea4dc7c5;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.contrib.reactivesocket.BasePayloadSupplier</code><br>from <code>com.netflix.hystrix.contrib.reactivesocket.StreamingSupplier, com.netflix.hystrix.contrib.reactivesocket.requests.HystrixRequestEventsStream, com.netflix.hystrix.contrib.reactivesocket.sample.HystrixConfigStream, com.netflix.hystrix.contrib.reactivesocket.sample.HystrixUtilizationStream</code><br>;;;;com.netflix.hystrix.contrib.reactivesocket.BasePayloadSupplier;com.netflix.hystrix.contrib.reactivesocket.StreamingSupplier, com.netflix.hystrix.contrib.reactivesocket.requests.HystrixRequestEventsStream, com.netflix.hystrix.contrib.reactivesocket.sample.HystrixConfigStream, com.netflix.hystrix.contrib.reactivesocket.sample.HystrixUtilizationStream;;false;false;false
36bfd70bba4cb8bffd7d371a89df9adba581b499;Extract Subtype;Type;<br>extract subType <code>com.netflix.hystrix.HystrixCommandResponseFromCache</code><br>from <code>com.netflix.hystrix.HystrixCachedObservable</code><br>;;;;com.netflix.hystrix.HystrixCommandResponseFromCache;com.netflix.hystrix.HystrixCachedObservable;;true;false;false
d885372c6ad77a32cb0edbfd0333a0fa8bcf3285;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.HystrixCachedObservable</code><br>from <code>com.netflix.hystrix.HystrixRequestCacheTest.TestObservable</code><br>;;;;com.netflix.hystrix.HystrixCachedObservable;com.netflix.hystrix.HystrixRequestCacheTest.TestObservable;;false;false;false
664430f8865773f4215936bf6fed756e2964ce2e;Move and Rename Type;Type;<br>type <code>com.netflix.hystrix.strategy.properties.HystrixArchaiusHelper.SystemPropertiesHystrixDynamicProperties</code><br>moved and renamed to<br><code>com.netflix.hystrix.strategy.properties.HystrixDynamicPropertiesSystemProperties</code><br>;;com.netflix.hystrix.strategy.properties.HystrixArchaiusHelper.SystemPropertiesHystrixDynamicProperties;;com.netflix.hystrix.strategy.properties.HystrixDynamicPropertiesSystemProperties;;;false;false;true
664430f8865773f4215936bf6fed756e2964ce2e;Gain Visibility in Type;Type;<br>type <code>com.netflix.hystrix.strategy.properties.HystrixDynamicPropertiesSystemProperties</code><br>changed visibility from <code>private</code>to <code>public</code><br>;;com.netflix.hystrix.strategy.properties.HystrixArchaiusHelper.SystemPropertiesHystrixDynamicProperties;;com.netflix.hystrix.strategy.properties.HystrixDynamicPropertiesSystemProperties;private;public;false;false;true
664430f8865773f4215936bf6fed756e2964ce2e;Remove Type;Type;<br>type <code>com.netflix.hystrix.strategy.properties.HystrixArchaiusHelper</code><br>was removed<br>;;com.netflix.hystrix.strategy.properties.HystrixArchaiusHelper;;;;;true;false;true
cae8191f7e81354d42f6044234fb892e271ddcd5;Remove Type;Type;<br>type <code>com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedProperty.StringProperty</code><br>was removed<br>;;com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedProperty.StringProperty;;;;;true;false;true
27b6fe10e22af50f0b582d3fe6548b3622b6bc76;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicPropertyWrapper</code><br>from <code>com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicBooleanProperty, com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicIntegerProperty, com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicLongProperty, com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicStringProperty</code><br>;;;;com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicPropertyWrapper;com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicBooleanProperty, com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicIntegerProperty, com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicLongProperty, com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusProperty.DynamicStringProperty;;false;false;false
3c4bda7fa28dbc245f23cfc7e5eb833475c44bbf;Move Type;Type;<br>type <code>com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsJsonStream.ExecutionSignature</code><br>moved to<br><code>com.netflix.hystrix.metric.HystrixRequestEvents.ExecutionSignature</code><br>;;com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsJsonStream.ExecutionSignature;;com.netflix.hystrix.metric.HystrixRequestEvents.ExecutionSignature;;;false;false;false
3c4bda7fa28dbc245f23cfc7e5eb833475c44bbf;Gain Visibility in Type;Type;<br>type <code>com.netflix.hystrix.metric.HystrixRequestEvents.ExecutionSignature</code><br>changed visibility from <code>private</code>to <code>public</code><br>;;com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsJsonStream.ExecutionSignature;;com.netflix.hystrix.metric.HystrixRequestEvents.ExecutionSignature;private;public;false;false;false
1a303600ed618cb7c34a2bf8140297b6cde38a4c;Extract Type;Type;<br>extract type <code>com.netflix.hystrix.contrib.requests.stream.RequestEventsJsonStream</code><br>from <code>com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsSseServlet</code><br>;;;;com.netflix.hystrix.contrib.requests.stream.RequestEventsJsonStream;com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsSseServlet;;true;false;false
7c33691135b96281bccbe063f247b858515f394f;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.config.stream.HystrixConfigSseServlet</code><br>was removed<br>;;com.netflix.hystrix.contrib.config.stream.HystrixConfigSseServlet;;;;;true;false;true
f76263dc76d9ec3c833a0b80499208784fe01f94;Rename Type;Type;<br>type <code>com.netflix.hystrix.metric.HystrixCommandEventStream</code><br>renamed to<br><code>com.netflix.hystrix.metric.HystrixCommandStartStream</code><br>;;com.netflix.hystrix.metric.HystrixCommandEventStream;;com.netflix.hystrix.metric.HystrixCommandStartStream;;;true;false;true
f76263dc76d9ec3c833a0b80499208784fe01f94;Rename Type;Type;<br>type <code>com.netflix.hystrix.metric.HystrixThreadPoolEventStream</code><br>renamed to<br><code>com.netflix.hystrix.metric.HystrixThreadPoolStartStream</code><br>;;com.netflix.hystrix.metric.HystrixThreadPoolEventStream;;com.netflix.hystrix.metric.HystrixThreadPoolStartStream;;;true;false;true
f76263dc76d9ec3c833a0b80499208784fe01f94;Add Type;Type;<br>type <code>com.netflix.hystrix.metric.HystrixCommandCompletionStream</code> added<br>;;;;com.netflix.hystrix.metric.HystrixCommandCompletionStream;;;false;false;true
f76263dc76d9ec3c833a0b80499208784fe01f94;Add Type;Type;<br>type <code>com.netflix.hystrix.metric.HystrixThreadPoolCompletionStream</code> added<br>;;;;com.netflix.hystrix.metric.HystrixThreadPoolCompletionStream;;;false;false;true
f288c0dca9f49e558ac655c4daf2fc2cf63d700c;Rename Type;Type;<br>type <code>com.netflix.hystrix.metric.RollingCommandLatencyStream</code><br>renamed to<br><code>com.netflix.hystrix.metric.RollingCommandLatencyDistributionStream</code><br>;;com.netflix.hystrix.metric.RollingCommandLatencyStream;;com.netflix.hystrix.metric.RollingCommandLatencyDistributionStream;;;true;false;true
f288c0dca9f49e558ac655c4daf2fc2cf63d700c;Add Supertype;Type;<br>type <code>com.netflix.hystrix.metric.RollingCommandLatencyDistributionStream</code><br>added superType <code>RollingDistributionStream<HystrixCommandCompletion></code><br>;;com.netflix.hystrix.metric.RollingCommandLatencyStream;;com.netflix.hystrix.metric.RollingCommandLatencyDistributionStream;;RollingDistributionStream<HystrixCommandCompletion>;true;false;true
f288c0dca9f49e558ac655c4daf2fc2cf63d700c;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.metric.RollingDistributionStream</code><br>from <code>com.netflix.hystrix.metric.RollingCommandLatencyDistributionStream</code><br>;;;;com.netflix.hystrix.metric.RollingDistributionStream;com.netflix.hystrix.metric.RollingCommandLatencyDistributionStream;;false;false;true
d90dc531c6e6ddfa03f7f8cabeacbaedf823292f;Change in Supertype;Type;<br>type <code>com.netflix.hystrix.metric.HealthCountsStream</code><br>changed the superType<br>from <code>BucketedRollingCounterStream<long[],HystrixCommandMetrics.HealthCounts></code><br>to <code>BucketedRollingCounterStream<HystrixCommandCompletion,long[],HystrixCommandMetrics.HealthCounts></code><br>;;com.netflix.hystrix.metric.HealthCountsStream;;com.netflix.hystrix.metric.HealthCountsStream;BucketedRollingCounterStream<long[],HystrixCommandMetrics.HealthCounts>;BucketedRollingCounterStream<HystrixCommandCompletion,long[],HystrixCommandMetrics.HealthCounts>;true;false;true
d90dc531c6e6ddfa03f7f8cabeacbaedf823292f;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.metric.HystrixEvent</code><br>from <code>com.netflix.hystrix.metric.HystrixCommandEvent</code><br>;;;;com.netflix.hystrix.metric.HystrixEvent;com.netflix.hystrix.metric.HystrixCommandEvent;;false;false;true
ade2b66afd31138ded749eaa9ffdb42ecf334829;Move Type;Type;<br>type <code>com.netflix.hystrix.AbstractCommand.ExecutionResult</code><br>moved to<br><code>com.netflix.hystrix.ExecutionResult</code><br>;;com.netflix.hystrix.AbstractCommand.ExecutionResult;;com.netflix.hystrix.ExecutionResult;;;true;false;true
ade2b66afd31138ded749eaa9ffdb42ecf334829;Gain Visibility in Type;Type;<br>type <code>com.netflix.hystrix.ExecutionResult</code><br>changed visibility from <code>protected</code>to <code>public</code><br>;;com.netflix.hystrix.AbstractCommand.ExecutionResult;;com.netflix.hystrix.ExecutionResult;protected;public;true;false;true
ade2b66afd31138ded749eaa9ffdb42ecf334829;Extract Type;Type;<br>extract type <code>com.netflix.hystrix.ExecutionResult.EventCounts</code><br>from <code>com.netflix.hystrix.AbstractCommand.ExecutionResult</code><br>;;;;com.netflix.hystrix.ExecutionResult.EventCounts;com.netflix.hystrix.AbstractCommand.ExecutionResult;;true;false;false
6aacadc0dc552f87a703e31bee011ca31468f1b6;Remove Type;Type;<br>type <code>com.netflix.hystrix.metric.HystrixCommandStart</code><br>was removed<br>;;com.netflix.hystrix.metric.HystrixCommandStart;;;;;true;false;false
6aacadc0dc552f87a703e31bee011ca31468f1b6;Add Type;Type;<br>type <code>com.netflix.hystrix.metric.HystrixCommandConstructed</code> added<br>;;;;com.netflix.hystrix.metric.HystrixCommandConstructed;;;false;false;false
37a1695a1ea70eeb85c9e7929ec698237fc1e040;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.metric.RollingConcurrencyStream</code><br>from <code>com.netflix.hystrix.metric.RollingCommandConcurrencyStream</code><br>;;;;com.netflix.hystrix.metric.RollingConcurrencyStream;com.netflix.hystrix.metric.RollingCommandConcurrencyStream;;false;false;true
11550a13d902da4b1a9c47048a61593738d084c3;Change in Supertype;Type;<br>type <code>com.netflix.hystrix.metric.HealthCountsStream</code><br>changed the superType<br>from <code>CommandEventCounterStream</code><br>to <code>BucketedRollingCounterStream<long[],HystrixCommandMetrics.HealthCounts></code><br>;;com.netflix.hystrix.metric.HealthCountsStream;;com.netflix.hystrix.metric.HealthCountsStream;CommandEventCounterStream;BucketedRollingCounterStream<long[],HystrixCommandMetrics.HealthCounts>;true;false;true
11550a13d902da4b1a9c47048a61593738d084c3;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.metric.BucketedCumulativeCounterStream</code><br>from <code>com.netflix.hystrix.metric.CumulativeCommandEventCounterStream</code><br>;;;;com.netflix.hystrix.metric.BucketedCumulativeCounterStream;com.netflix.hystrix.metric.CumulativeCommandEventCounterStream;;false;false;false
11550a13d902da4b1a9c47048a61593738d084c3;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.metric.BucketedRollingCounterStream</code><br>from <code>com.netflix.hystrix.metric.HealthCountsStream, com.netflix.hystrix.metric.RollingCommandEventCounterStream</code><br>;;;;com.netflix.hystrix.metric.BucketedRollingCounterStream;com.netflix.hystrix.metric.HealthCountsStream, com.netflix.hystrix.metric.RollingCommandEventCounterStream;;false;false;false
11550a13d902da4b1a9c47048a61593738d084c3;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.metric.HystrixEventStream</code><br>from <code>com.netflix.hystrix.metric.HystrixCommandEventStream, com.netflix.hystrix.metric.HystrixThreadPoolEventStream</code><br>;;;;com.netflix.hystrix.metric.HystrixEventStream;com.netflix.hystrix.metric.HystrixCommandEventStream, com.netflix.hystrix.metric.HystrixThreadPoolEventStream;;false;false;false
