commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.EurekaInfoServlet</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.EurekaInfoServlet;;;;;true;false;true
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.MockStreamServlet</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.MockStreamServlet;;;;;true;false;true
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.ProxyStreamServlet</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.ProxyStreamServlet;;;;;true;false;true
1ee6ae235b257f085056ed5ab5e54a53d81e07e0;Remove Type;Type;<br>type <code>com.netflix.hystrix.dashboard.stream.UrlUtils</code><br>was removed<br>;;com.netflix.hystrix.dashboard.stream.UrlUtils;;;;;true;false;true
c9241ac1a432a3c4eaef3d83a76bf2ccf73c9342;Lost Visibility in Type;Type;<br>type <code>com.netflix.hystrix.HystrixCircuitBreaker.Factory</code><br>changed visibility from <code>public</code>to <code>default</code><br>;;com.netflix.hystrix.HystrixCircuitBreaker.Factory;;com.netflix.hystrix.HystrixCircuitBreaker.Factory;public;default;true;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.HystrixStream</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.HystrixStream;;;false;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamFeature</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.HystrixStreamFeature;;;false;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.HystrixStreamingOutputProvider;;;false;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.controller.AbstractHystrixStreamController</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.controller.AbstractHystrixStreamController;;;false;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.controller.HystrixConfigSseController;;;false;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixMetricsStreamController</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.controller.HystrixMetricsStreamController;;;false;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixRequestEventsSseController</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.controller.HystrixRequestEventsSseController;;;false;false;true
e9d82762702f627258bb8d7d5c04836650bf2db6;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.controller.HystrixUtilizationSseController</code> added<br>;;;;com.netflix.hystrix.contrib.metrics.controller.HystrixUtilizationSseController;;;false;false;true
9c357df18c67337469b475326f8ffe7df00314cc;Add Type;Type;<br>type <code>com.netflix.hystrix.exception.ExceptionNotWrappedByHystrix</code> added<br>;;;;com.netflix.hystrix.exception.ExceptionNotWrappedByHystrix;;;false;false;true
9c357df18c67337469b475326f8ffe7df00314cc;Add Type;Type;<br>type <code>com.netflix.hystrix.util.Exceptions</code> added<br>;;;;com.netflix.hystrix.util.Exceptions;;;false;false;false
12d19bdbc30b5761e388fc86f6fee96f8566eb7f;Add Type;Type;<br>type <code>com.netflix.hystrix.contrib.javanica.annotation.HystrixException</code> added<br>;;;;com.netflix.hystrix.contrib.javanica.annotation.HystrixException;;;false;false;true
e102e5db43018533aacdf7417b570097a6fb161b;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.EventStreamEnum</code><br>was removed<br>;;com.netflix.hystrix.contrib.reactivesocket.EventStreamEnum;;;;;true;false;false
e102e5db43018533aacdf7417b570097a6fb161b;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.EventStreamRequestHandler</code><br>was removed<br>;;com.netflix.hystrix.contrib.reactivesocket.EventStreamRequestHandler;;;;;true;false;true
e102e5db43018533aacdf7417b570097a6fb161b;Remove Type;Type;<br>type <code>com.netflix.hystrix.contrib.reactivesocket.client.HystrixMetricsReactiveSocketClient</code><br>was removed<br>;;com.netflix.hystrix.contrib.reactivesocket.client.HystrixMetricsReactiveSocketClient;;;;;true;false;false
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Lost Visibility in Type;Type;<br>type <code>com.netflix.hystrix.HystrixCommandGroupKey.Factory</code><br>changed visibility from <code>public</code>to <code>default</code><br>;;com.netflix.hystrix.HystrixCommandGroupKey.Factory;;com.netflix.hystrix.HystrixCommandGroupKey.Factory;public;default;true;false;false
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Lost Visibility in Type;Type;<br>type <code>com.netflix.hystrix.HystrixCommandKey.Factory</code><br>changed visibility from <code>public</code>to <code>default</code><br>;;com.netflix.hystrix.HystrixCommandKey.Factory;;com.netflix.hystrix.HystrixCommandKey.Factory;public;default;true;false;false
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Lost Visibility in Type;Type;<br>type <code>com.netflix.hystrix.HystrixThreadPoolKey.Factory</code><br>changed visibility from <code>public</code>to <code>default</code><br>;;com.netflix.hystrix.HystrixThreadPoolKey.Factory;;com.netflix.hystrix.HystrixThreadPoolKey.Factory;public;default;true;false;false
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Extract Supertype;Type;<br>extract superType <code>com.netflix.hystrix.HystrixKey</code><br>from <code>com.netflix.hystrix.HystrixCommandGroupKey, com.netflix.hystrix.HystrixCommandKey, com.netflix.hystrix.HystrixThreadPoolKey</code><br>;;;;com.netflix.hystrix.HystrixKey;com.netflix.hystrix.HystrixCommandGroupKey, com.netflix.hystrix.HystrixCommandKey, com.netflix.hystrix.HystrixThreadPoolKey;;false;false;true
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Add Type;Type;<br>type <code>com.netflix.hystrix.util.InternMap.ValueConstructor</code> added<br>;;;;com.netflix.hystrix.util.InternMap.ValueConstructor;;;false;false;false
35af9d2fa2ce4e09b0ca4a0e3a2d36fdcd5a83db;Add Type;Type;<br>type <code>com.netflix.hystrix.util.InternMap</code> added<br>;;;;com.netflix.hystrix.util.InternMap;;;false;false;true
5370e7bb9da9471758a307fdd461fbe74098644d;Move Type;Type;<br>type <code>com.netflix.hystrix.metric.serial.SerialHystrixConfiguration</code><br>moved to<br><code>com.netflix.hystrix.serial.SerialHystrixConfiguration</code><br>;;com.netflix.hystrix.metric.serial.SerialHystrixConfiguration;;com.netflix.hystrix.serial.SerialHystrixConfiguration;;;true;false;false
5370e7bb9da9471758a307fdd461fbe74098644d;Move Type;Type;<br>type <code>com.netflix.hystrix.metric.serial.SerialHystrixDashboardData</code><br>moved to<br><code>com.netflix.hystrix.serial.SerialHystrixDashboardData</code><br>;;com.netflix.hystrix.metric.serial.SerialHystrixDashboardData;;com.netflix.hystrix.serial.SerialHystrixDashboardData;;;true;false;false
5370e7bb9da9471758a307fdd461fbe74098644d;Move Type;Type;<br>type <code>com.netflix.hystrix.metric.serial.SerialHystrixMetric</code><br>moved to<br><code>com.netflix.hystrix.serial.SerialHystrixMetric</code><br>;;com.netflix.hystrix.metric.serial.SerialHystrixMetric;;com.netflix.hystrix.serial.SerialHystrixMetric;;;true;false;false
5370e7bb9da9471758a307fdd461fbe74098644d;Move Type;Type;<br>type <code>com.netflix.hystrix.metric.serial.SerialHystrixRequestEvents</code><br>moved to<br><code>com.netflix.hystrix.serial.SerialHystrixRequestEvents</code><br>;;com.netflix.hystrix.metric.serial.SerialHystrixRequestEvents;;com.netflix.hystrix.serial.SerialHystrixRequestEvents;;;true;false;false
5370e7bb9da9471758a307fdd461fbe74098644d;Move Type;Type;<br>type <code>com.netflix.hystrix.metric.serial.SerialHystrixUtilization</code><br>moved to<br><code>com.netflix.hystrix.serial.SerialHystrixUtilization</code><br>;;com.netflix.hystrix.metric.serial.SerialHystrixUtilization;;com.netflix.hystrix.serial.SerialHystrixUtilization;;;true;false;false
f1bb9c9d2e50e330610aefdd6efc808a22ab935a;Deprecated Type;Type;<br>type <code>com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsJsonStream</code> was deprecated<br>;;com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsJsonStream;;com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsJsonStream;;;false;true;true
f1bb9c9d2e50e330610aefdd6efc808a22ab935a;Change in Supertype;Type;<br>type <code>com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsSseServlet</code><br>changed the superType<br>from <code>HttpServlet</code><br>to <code>HystrixSampleSseServlet</code><br>;;com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsSseServlet;;com.netflix.hystrix.contrib.requests.stream.HystrixRequestEventsSseServlet;HttpServlet;HystrixSampleSseServlet;true;false;true
a2ee1c49e1a5c74a5b019b8ff337a0f3b56ceb9d;Change in Supertype;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet</code><br>changed the superType<br>from <code>HystrixSampleSseServlet<HystrixDashboardStream.DashboardData></code><br>to <code>HystrixSampleSseServlet</code><br>;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;HystrixSampleSseServlet<HystrixDashboardStream.DashboardData>;HystrixSampleSseServlet;true;false;true
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Change in Supertype;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet</code><br>changed the superType<br>from <code>HttpServlet</code><br>to <code>HystrixSampleSseServlet<HystrixDashboardStream.DashboardData></code><br>;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsStreamServlet;HttpServlet;HystrixSampleSseServlet<HystrixDashboardStream.DashboardData>;true;false;true
151a4a08310a3e1dcc29e5d00f53d8933f1ec4ee;Deprecated Type;Type;<br>type <code>com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsPoller</code> was deprecated<br>;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsPoller;;com.netflix.hystrix.contrib.metrics.eventstream.HystrixMetricsPoller;;;false;true;true
