commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;element;path
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Type;Type;<br>type <code>com.github.mikephil.charting.formatter.ValueFormatter</code> <br>was removed<br>;com.github.mikephil.charting.formatter.ValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;;;;true;false;true;ValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.IndexAxisValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;;;com.github.mikephil.charting.formatter.IndexAxisValueFormatter;com.github.mikephil.charting.formatter.IndexAxisValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;true;false;true;IndexAxisValueFormatter;com.github.mikephil.charting.formatter.IndexAxisValueFormatter
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.PercentFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;;;com.github.mikephil.charting.formatter.PercentFormatter;com.github.mikephil.charting.formatter.PercentFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;true;false;true;PercentFormatter;com.github.mikephil.charting.formatter.PercentFormatter
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.LargeValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;;;com.github.mikephil.charting.formatter.LargeValueFormatter;com.github.mikephil.charting.formatter.LargeValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;true;false;true;LargeValueFormatter;com.github.mikephil.charting.formatter.LargeValueFormatter
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.DefaultAxisValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;;;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;true;false;true;DefaultAxisValueFormatter;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.DefaultValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;;;com.github.mikephil.charting.formatter.DefaultValueFormatter;com.github.mikephil.charting.formatter.DefaultValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;true;false;true;DefaultValueFormatter;com.github.mikephil.charting.formatter.DefaultValueFormatter
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.StackedValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;;;com.github.mikephil.charting.formatter.StackedValueFormatter;com.github.mikephil.charting.formatter.StackedValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;true;false;true;StackedValueFormatter;com.github.mikephil.charting.formatter.StackedValueFormatter
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.Fill</code> added<br>;;;com.github.mikephil.charting.utils.Fill;com.github.mikephil.charting.utils.Fill;;;false;false;false;Fill;com.github.mikephil.charting.utils.Fill
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.Fill.Type</code> added<br>;;;com.github.mikephil.charting.utils.Fill.Type;com.github.mikephil.charting.utils.Fill.Type;;;false;false;false;Type;com.github.mikephil.charting.utils.Fill.Type
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.Fill.Direction</code> added<br>;;;com.github.mikephil.charting.utils.Fill.Direction;com.github.mikephil.charting.utils.Fill.Direction;;;false;false;false;Direction;com.github.mikephil.charting.utils.Fill.Direction
