commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.Fill</code> added<br>;;;com.github.mikephil.charting.utils.Fill;com.github.mikephil.charting.utils.Fill;;;false;false;false
e5b66192e7b303d7d25fc172b1878c055b554047;Add Type;Type;<br>Type <code>com.github.mikephil.charting.formatter.ValueFormatter</code> added<br>;;;com.github.mikephil.charting.formatter.ValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;;;false;false;true
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d;Remove Type;Type;<br>type <code>com.github.mikephil.charting.animation.EasingFunction</code> <br>was removed<br>;com.github.mikephil.charting.animation.EasingFunction;com.github.mikephil.charting.animation.EasingFunction;;;;;true;false;true
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d;Add Type;Type;<br>Type <code>com.github.mikephil.charting.animation.Easing.EasingFunction</code> added<br>;;;com.github.mikephil.charting.animation.Easing.EasingFunction;com.github.mikephil.charting.animation.Easing.EasingFunction;;;false;false;false
51f0e53a7f1de86bd0bc2fc2e3f2087ce54fe1bc;Add Type;Type;<br>Type <code>com.github.mikephil.charting.components.IMarker</code> added<br>;;;com.github.mikephil.charting.components.IMarker;com.github.mikephil.charting.components.IMarker;;;false;false;false
afdbd2c5f0fad23d255f8811ae756748717ff35a;Add Type;Type;<br>Type <code>com.github.mikephil.charting.formatter.FormattedStringCache.Generic</code> added<br>;;;com.github.mikephil.charting.formatter.FormattedStringCache.Generic;com.github.mikephil.charting.formatter.FormattedStringCache.Generic;;;false;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Add Type;Type;<br>Type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code> added<br>;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.github.mikephil.charting.formatter.FormattedStringCache;;;false;false;true
bd5858e8c0595f5b5583b2eee591b20b6987b4cf;Remove Type;Type;<br>type <code>com.github.mikephil.charting.charts.ScatterChart.ShapeRendererHandler</code> <br>was removed<br>;com.github.mikephil.charting.charts.ScatterChart.ShapeRendererHandler;com.github.mikephil.charting.charts.ScatterChart.ShapeRendererHandler;;;;;true;false;true
bd5858e8c0595f5b5583b2eee591b20b6987b4cf;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.ShapeRendererHandler</code> added<br>;;;com.github.mikephil.charting.utils.ShapeRendererHandler;com.github.mikephil.charting.utils.ShapeRendererHandler;;;false;false;true
c28b41b05ed9d22aaac4816eccd46602cf3803dd;Add Type;Type;<br>Type <code>com.github.mikephil.charting.highlight.Highlighter</code> added<br>;;;com.github.mikephil.charting.highlight.Highlighter;com.github.mikephil.charting.highlight.Highlighter;;;false;false;true
c0bee1c1cd3542375eb28e9235ce51b72198aa6d;Add Type;Type;<br>Type <code>com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer</code> added<br>;;;com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer;com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer;;;false;false;true
c0bee1c1cd3542375eb28e9235ce51b72198aa6d;Add Type;Type;<br>Type <code>com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer.XBounds</code> added<br>;;;com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer.XBounds;com.github.mikephil.charting.renderer.BarLineScatterCandleBubbleRenderer.XBounds;;;false;false;true
639d3359093ac91f52e5da7718834b034ed491b9;Add Type;Type;<br>Type <code>com.github.mikephil.charting.data.BaseEntry</code> added<br>;;;com.github.mikephil.charting.data.BaseEntry;com.github.mikephil.charting.data.BaseEntry;;;false;false;true
d2aa701eb2597e6735bd701b2e4bd2fc9de88c39;Add Type;Type;<br>Type <code>com.github.mikephil.charting.formatter.DefaultAxisValueFormatter</code> added<br>;;;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;;;false;false;true
