commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Deprecated Type;Type;<br>type <code>com.github.mikephil.charting.model.GradientColor</code> was deprecated<br>;;com.github.mikephil.charting.model.GradientColor;;com.github.mikephil.charting.model.GradientColor;;;false;true;true
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Extract Supertype;Type;<br>extract superType <code>com.github.mikephil.charting.utils.Fill</code><br>from <code>com.github.mikephil.charting.model.GradientColor</code><br>;;;;com.github.mikephil.charting.utils.Fill;com.github.mikephil.charting.model.GradientColor;;false;false;false
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.utils.Fill</code><br>from <code>com.github.mikephil.charting.data.BaseDataSet</code><br>;;;;com.github.mikephil.charting.utils.Fill;com.github.mikephil.charting.data.BaseDataSet;;true;false;false
e5b66192e7b303d7d25fc172b1878c055b554047;Extract Supertype;Type;<br>extract superType <code>com.github.mikephil.charting.formatter.ValueFormatter</code><br>from <code>com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative.CustomFormatter, com.xxmassdeveloper.mpchartexample.custom.DayAxisValueFormatter, com.xxmassdeveloper.mpchartexample.custom.MyCustomXAxisValueFormatter, com.xxmassdeveloper.mpchartexample.custom.MyValueFormatter, com.xxmassdeveloper.mpchartexample.custom.YearXAxisFormatter, com.github.mikephil.charting.formatter.DefaultAxisValueFormatter, com.github.mikephil.charting.formatter.DefaultValueFormatter, com.github.mikephil.charting.formatter.IndexAxisValueFormatter, com.github.mikephil.charting.formatter.LargeValueFormatter, com.github.mikephil.charting.formatter.PercentFormatter, com.github.mikephil.charting.formatter.StackedValueFormatter</code><br>;;;;com.github.mikephil.charting.formatter.ValueFormatter;com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative.CustomFormatter, com.xxmassdeveloper.mpchartexample.custom.DayAxisValueFormatter, com.xxmassdeveloper.mpchartexample.custom.MyCustomXAxisValueFormatter, com.xxmassdeveloper.mpchartexample.custom.MyValueFormatter, com.xxmassdeveloper.mpchartexample.custom.YearXAxisFormatter, com.github.mikephil.charting.formatter.DefaultAxisValueFormatter, com.github.mikephil.charting.formatter.DefaultValueFormatter, com.github.mikephil.charting.formatter.IndexAxisValueFormatter, com.github.mikephil.charting.formatter.LargeValueFormatter, com.github.mikephil.charting.formatter.PercentFormatter, com.github.mikephil.charting.formatter.StackedValueFormatter;;false;false;true
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d;Move Type;Type;<br>type <code>com.github.mikephil.charting.animation.EasingFunction</code><br>moved to<br><code>com.github.mikephil.charting.animation.Easing.EasingFunction</code><br>;;com.github.mikephil.charting.animation.EasingFunction;;com.github.mikephil.charting.animation.Easing.EasingFunction;;;true;false;false
21e778cb1fae280f53725ce035227a2504c00316;Deprecated Type;Type;<br>type <code>com.github.mikephil.charting.components.Legend.LegendPosition</code> was deprecated<br>;;com.github.mikephil.charting.components.Legend.LegendPosition;;com.github.mikephil.charting.components.Legend.LegendPosition;;;false;true;true
51f0e53a7f1de86bd0bc2fc2e3f2087ce54fe1bc;Extract Supertype;Type;<br>extract superType <code>com.github.mikephil.charting.components.IMarker</code><br>from <code>com.github.mikephil.charting.components.MarkerView</code><br>;;;;com.github.mikephil.charting.components.IMarker;com.github.mikephil.charting.components.MarkerView;;false;false;false
afdbd2c5f0fad23d255f8811ae756748717ff35a;Extract Subtype;Type;<br>extract subType <code>com.github.mikephil.charting.formatter.FormattedStringCache.Generic</code><br>from <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache.Generic;com.github.mikephil.charting.formatter.FormattedStringCache;;true;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>from <code>com.github.mikephil.charting.formatter.DefaultAxisValueFormatter</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;;true;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>from <code>com.github.mikephil.charting.formatter.DefaultValueFormatter</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.github.mikephil.charting.formatter.DefaultValueFormatter;;true;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>from <code>com.github.mikephil.charting.formatter.LargeValueFormatter</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.github.mikephil.charting.formatter.LargeValueFormatter;;true;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>from <code>com.github.mikephil.charting.formatter.PercentFormatter</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.github.mikephil.charting.formatter.PercentFormatter;;true;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>from <code>com.xxmassdeveloper.mpchartexample.BarChartPositiveNegative.ValueFormatter</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.xxmassdeveloper.mpchartexample.BarChartPositiveNegative.ValueFormatter;;true;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>from <code>com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative.CustomFormatter</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative.CustomFormatter;;true;false;true
0b72b5588b1770af9ddb756f20b4b4e7169ecf5b;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.formatter.FormattedStringCache</code><br>from <code>com.xxmassdeveloper.mpchartexample.custom.MyCustomXAxisValueFormatter</code><br>;;;;com.github.mikephil.charting.formatter.FormattedStringCache;com.xxmassdeveloper.mpchartexample.custom.MyCustomXAxisValueFormatter;;true;false;true
