commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Type;Type;<br>type <code>com.github.mikephil.charting.formatter.ValueFormatter</code> <br>was removed<br>;ValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.IndexAxisValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;IndexAxisValueFormatter;com.github.mikephil.charting.formatter.IndexAxisValueFormatter;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.PercentFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;PercentFormatter;com.github.mikephil.charting.formatter.PercentFormatter;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.LargeValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;LargeValueFormatter;com.github.mikephil.charting.formatter.LargeValueFormatter;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.DefaultAxisValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;DefaultAxisValueFormatter;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.DefaultValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;DefaultValueFormatter;com.github.mikephil.charting.formatter.DefaultValueFormatter;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br><code>com.github.mikephil.charting.formatter.StackedValueFormatter</code><br>removed superClass com.github.mikephil.charting.formatter.ValueFormatter</code><br>;StackedValueFormatter;com.github.mikephil.charting.formatter.StackedValueFormatter;true;false;true
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.Fill</code> added<br>;Fill;com.github.mikephil.charting.utils.Fill;false;false;false
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.Fill.Type</code> added<br>;Type;com.github.mikephil.charting.utils.Fill.Type;false;false;false
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>Type <code>com.github.mikephil.charting.utils.Fill.Direction</code> added<br>;Direction;com.github.mikephil.charting.utils.Fill.Direction;false;false;false
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Supertype;Type;<br><code>com.github.mikephil.charting.model.GradientColor</code><br>added superClass com.github.mikephil.charting.model.Fill</code><br>;GradientColor;com.github.mikephil.charting.model.GradientColor;false;false;true
634a690d6a318aa3b3fa4e277f29359901e47b8b;Add Type;Type;<br>Type <code>com.github.mikephil.charting.data.filter.ApproximatorN</code> added<br>;ApproximatorN;com.github.mikephil.charting.data.filter.ApproximatorN;false;false;true
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6;Remove Type;Type;<br>type <code>com.github.mikephil.charting.components.Legend.LegendPosition</code> <br>was removed<br>;LegendPosition;com.github.mikephil.charting.components.Legend.LegendPosition;true;false;true
fc0e2342984758849384199f0225e0c6b5555168;Remove Type;Type;<br>type <code>com.github.mikephil.charting.animation.Easing.EasingOption</code> <br>was removed<br>;EasingOption;com.github.mikephil.charting.animation.Easing.EasingOption;false;true;true
e5b66192e7b303d7d25fc172b1878c055b554047;Add Type;Type;<br>Type <code>com.github.mikephil.charting.formatter.ValueFormatter</code> added<br>;ValueFormatter;com.github.mikephil.charting.formatter.ValueFormatter;false;false;true
e5b66192e7b303d7d25fc172b1878c055b554047;Deprecated Type;Type;<br> type com.github.mikephil.charting.formatter.IValueFormatter <code> was deprecated<br>;IValueFormatter;com.github.mikephil.charting.formatter.IValueFormatter;false;false;true
e5b66192e7b303d7d25fc172b1878c055b554047;Deprecated Type;Type;<br> type com.github.mikephil.charting.formatter.IAxisValueFormatter <code> was deprecated<br>;IAxisValueFormatter;com.github.mikephil.charting.formatter.IAxisValueFormatter;false;false;true
