commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.IndexAxisValueFormatter</code><br>removed superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.IndexAxisValueFormatter;;com.github.mikephil.charting.formatter.IndexAxisValueFormatter;ValueFormatter;;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.LargeValueFormatter</code><br>removed superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.LargeValueFormatter;;com.github.mikephil.charting.formatter.LargeValueFormatter;ValueFormatter;;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.DefaultValueFormatter</code><br>removed superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.DefaultValueFormatter;;com.github.mikephil.charting.formatter.DefaultValueFormatter;ValueFormatter;;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.PercentFormatter</code><br>removed superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.PercentFormatter;;com.github.mikephil.charting.formatter.PercentFormatter;ValueFormatter;;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.DefaultAxisValueFormatter</code><br>removed superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;ValueFormatter;;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.StackedValueFormatter</code><br>removed superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.StackedValueFormatter;;com.github.mikephil.charting.formatter.StackedValueFormatter;ValueFormatter;;true;false;true
bc0be2cfe13e32a5d8adefaa507e3512d22d85fb;Remove Type;Type;<br>type <code>com.github.mikephil.charting.formatter.ValueFormatter</code><br>was removed<br>;;com.github.mikephil.charting.formatter.ValueFormatter;;;;;true;false;true
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Deprecated Type;Type;<br>type <code>com.github.mikephil.charting.model.GradientColor</code> was deprecated<br>;;com.github.mikephil.charting.model.GradientColor;;com.github.mikephil.charting.model.GradientColor;;;false;true;true
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Supertype;Type;<br>type <code>com.github.mikephil.charting.model.GradientColor</code><br>added superType <code>Fill</code><br>;;com.github.mikephil.charting.model.GradientColor;;com.github.mikephil.charting.model.GradientColor;;Fill;false;true;true
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Extract Supertype;Type;<br>extract superType <code>com.github.mikephil.charting.utils.Fill</code><br>from <code>com.github.mikephil.charting.model.GradientColor</code><br>;;;;com.github.mikephil.charting.utils.Fill;com.github.mikephil.charting.model.GradientColor;;false;false;false
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Extract Type;Type;<br>extract type <code>com.github.mikephil.charting.utils.Fill</code><br>from <code>com.github.mikephil.charting.data.BaseDataSet</code><br>;;;;com.github.mikephil.charting.utils.Fill;com.github.mikephil.charting.data.BaseDataSet;;true;false;false
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>type <code>com.github.mikephil.charting.utils.Fill.Type</code> added<br>;;;;com.github.mikephil.charting.utils.Fill.Type;;;false;false;false
c0e7f56b5d816c08fd6e238c9e08c6dc1fd6142c;Add Type;Type;<br>type <code>com.github.mikephil.charting.utils.Fill.Direction</code> added<br>;;;;com.github.mikephil.charting.utils.Fill.Direction;;;false;false;false
634a690d6a318aa3b3fa4e277f29359901e47b8b;Add Type;Type;<br>type <code>com.github.mikephil.charting.data.filter.ApproximatorN</code> added<br>;;;;com.github.mikephil.charting.data.filter.ApproximatorN;;;false;false;true
29f4cc5c2c5c7e5468759bb5ad414e9855cd09c6;Remove Type;Type;<br>type <code>com.github.mikephil.charting.components.Legend.LegendPosition</code><br>was removed<br>;;com.github.mikephil.charting.components.Legend.LegendPosition;;;;;false;true;true
fc0e2342984758849384199f0225e0c6b5555168;Remove Type;Type;<br>type <code>com.github.mikephil.charting.animation.Easing.EasingOption</code><br>was removed<br>;;com.github.mikephil.charting.animation.Easing.EasingOption;;;;;false;true;true
e5b66192e7b303d7d25fc172b1878c055b554047;Add Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.IndexAxisValueFormatter</code><br>added superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.IndexAxisValueFormatter;;com.github.mikephil.charting.formatter.IndexAxisValueFormatter;;ValueFormatter;false;false;true
e5b66192e7b303d7d25fc172b1878c055b554047;Deprecated Type;Type;<br>type <code>com.github.mikephil.charting.formatter.IValueFormatter</code> was deprecated<br>;;com.github.mikephil.charting.formatter.IValueFormatter;;com.github.mikephil.charting.formatter.IValueFormatter;;;false;true;true
e5b66192e7b303d7d25fc172b1878c055b554047;Add Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.LargeValueFormatter</code><br>added superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.LargeValueFormatter;;com.github.mikephil.charting.formatter.LargeValueFormatter;;ValueFormatter;false;false;true
e5b66192e7b303d7d25fc172b1878c055b554047;Add Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.DefaultValueFormatter</code><br>added superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.DefaultValueFormatter;;com.github.mikephil.charting.formatter.DefaultValueFormatter;;ValueFormatter;false;false;true
e5b66192e7b303d7d25fc172b1878c055b554047;Deprecated Type;Type;<br>type <code>com.github.mikephil.charting.formatter.IAxisValueFormatter</code> was deprecated<br>;;com.github.mikephil.charting.formatter.IAxisValueFormatter;;com.github.mikephil.charting.formatter.IAxisValueFormatter;;;false;true;true
e5b66192e7b303d7d25fc172b1878c055b554047;Add Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.PercentFormatter</code><br>added superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.PercentFormatter;;com.github.mikephil.charting.formatter.PercentFormatter;;ValueFormatter;false;false;true
e5b66192e7b303d7d25fc172b1878c055b554047;Add Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.DefaultAxisValueFormatter</code><br>added superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;;com.github.mikephil.charting.formatter.DefaultAxisValueFormatter;;ValueFormatter;false;false;true
e5b66192e7b303d7d25fc172b1878c055b554047;Add Supertype;Type;<br>type <code>com.github.mikephil.charting.formatter.StackedValueFormatter</code><br>added superType <code>ValueFormatter</code><br>;;com.github.mikephil.charting.formatter.StackedValueFormatter;;com.github.mikephil.charting.formatter.StackedValueFormatter;;ValueFormatter;false;false;true
