commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;element;path
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoDrawable</code> <br>was removed<br>;com.facebook.fresco.vito.core.FrescoDrawable;com.facebook.fresco.vito.core.FrescoDrawable;;;;;true;false;false;FrescoDrawable;com.facebook.fresco.vito.core.FrescoDrawable
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoContext</code> <br>was removed<br>;com.facebook.fresco.vito.core.FrescoContext;com.facebook.fresco.vito.core.FrescoContext;;;;;true;false;false;FrescoContext;com.facebook.fresco.vito.core.FrescoContext
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoExperiments</code> <br>was removed<br>;com.facebook.fresco.vito.core.FrescoExperiments;com.facebook.fresco.vito.core.FrescoExperiments;;;;;true;false;true;FrescoExperiments;com.facebook.fresco.vito.core.FrescoExperiments
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoController</code> <br>was removed<br>;com.facebook.fresco.vito.core.FrescoController;com.facebook.fresco.vito.core.FrescoController;;;;;true;false;false;FrescoController;com.facebook.fresco.vito.core.FrescoController
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.ImageStateListener</code> <br>was removed<br>;com.facebook.fresco.vito.core.ImageStateListener;com.facebook.fresco.vito.core.ImageStateListener;;;;;true;false;false;ImageStateListener;com.facebook.fresco.vito.core.ImageStateListener
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoState</code> <br>was removed<br>;com.facebook.fresco.vito.core.FrescoState;com.facebook.fresco.vito.core.FrescoState;;;;;true;false;false;FrescoState;com.facebook.fresco.vito.core.FrescoState
8509b3cb3f8b424cb329f67207cfe7a56a57fea5;Remove Type;Type;<br>type <code>com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend</code> <br>was removed<br>;com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend;com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend;;;;;true;false;true;DelegatingAnimatedDrawableBackend;com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend
ca49c750e56478e2bf160b3e1ee392b19e98ab8e;Move Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code><br>moved to<br><code>com.facebook.fresco.vito.nativecode.NativeCircularBitmapRounding</code><br>;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;com.facebook.fresco.vito.nativecode.NativeCircularBitmapRounding;com.facebook.fresco.vito.nativecode.NativeCircularBitmapRounding;;;true;false;false;NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding
ca49c750e56478e2bf160b3e1ee392b19e98ab8e;Move Type;Type;<br>type <code>com.facebook.fresco.vito.transformation.CircularBitmapTransformation</code><br>moved to<br><code>com.facebook.fresco.vito.nativecode.CircularBitmapTransformation</code><br>;com.facebook.fresco.vito.transformation.CircularBitmapTransformation;com.facebook.fresco.vito.transformation.CircularBitmapTransformation;com.facebook.fresco.vito.nativecode.CircularBitmapTransformation;com.facebook.fresco.vito.nativecode.CircularBitmapTransformation;;;true;false;false;CircularBitmapTransformation;com.facebook.fresco.vito.transformation.CircularBitmapTransformation
3b68838a26920e9fdff7569a82a0d11dbd66dd68;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code> added<br>;;;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;;;false;false;false;NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding
