commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
3b68838a26920e9fdff7569a82a0d11dbd66dd68;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code> added<br>;;;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;;;false;false;false
d4b6a235fad867d5b31fe59f79a95520f2fe7aef;Add Type;Type;<br>Type <code>com.facebook.imagepipeline.core.ImagePipelineConfigInterface</code> added<br>;;;com.facebook.imagepipeline.core.ImagePipelineConfigInterface;com.facebook.imagepipeline.core.ImagePipelineConfigInterface;;;false;false;false
9097833ccda41f367ebe004feefd8d142c7ab638;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code> added<br>;;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;;;false;false;false
664b59cc3c68154395dfa0e1fd6cb75448b2d94e;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code> <br>was removed<br>;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;;;;;true;false;false
6982e5e0242aa2666586093a624a30146dfdb629;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code> added<br>;;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;;;false;false;false
7d793ba35f99c3a3f91dbddd9bbea44bf87a459b;Remove Type;Type;<br>type <code>com.facebook.drawee.drawable.FadeDrawable.OnFadeFinishedListener</code> <br>was removed<br>;com.facebook.drawee.drawable.FadeDrawable.OnFadeFinishedListener;com.facebook.drawee.drawable.FadeDrawable.OnFadeFinishedListener;;;;;true;false;false
7d793ba35f99c3a3f91dbddd9bbea44bf87a459b;Add Type;Type;<br>Type <code>com.facebook.drawee.drawable.FadeDrawable.OnFadeListener</code> added<br>;;;com.facebook.drawee.drawable.FadeDrawable.OnFadeListener;com.facebook.drawee.drawable.FadeDrawable.OnFadeListener;;;false;false;false
c7238846ecc69c30ead3ea63c237175cb549fa7f;Rename Type;Type;type <code>com.facebook.imagepipeline.cache.BitmapCountingMemoryCacheFactory</code><br>renamed to<br><code>com.facebook.imagepipeline.cache.CountingLruBitmapMemoryCacheFactory</code><br>;com.facebook.imagepipeline.cache.BitmapCountingMemoryCacheFactory;com.facebook.imagepipeline.cache.BitmapCountingMemoryCacheFactory;com.facebook.imagepipeline.cache.CountingLruBitmapMemoryCacheFactory;com.facebook.imagepipeline.cache.CountingLruBitmapMemoryCacheFactory;;;true;false;false
c7238846ecc69c30ead3ea63c237175cb549fa7f;Add Type;Type;<br>Type <code>com.facebook.imagepipeline.cache.InstrumentedMemoryCacheBitmapMemoryCacheFactory</code> added<br>;;;com.facebook.imagepipeline.cache.InstrumentedMemoryCacheBitmapMemoryCacheFactory;com.facebook.imagepipeline.cache.InstrumentedMemoryCacheBitmapMemoryCacheFactory;;;false;false;false
c7238846ecc69c30ead3ea63c237175cb549fa7f;Add Type;Type;<br>Type <code>com.facebook.imagepipeline.cache.AbstractAdaptiveCountingMemoryCache</code> added<br>;;;com.facebook.imagepipeline.cache.AbstractAdaptiveCountingMemoryCache;com.facebook.imagepipeline.cache.AbstractAdaptiveCountingMemoryCache;;;false;false;true
