commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
9dc9c51d0b984651f094ffe6146d38f1a49477ba;Move Type;Type;<br>type <code>com.facebook.fresco.vito.core.VitoUtils</code><br>moved to<br><code>com.facebook.fresco.vito.core.impl.VitoUtils</code><br>;;com.facebook.fresco.vito.core.VitoUtils;;com.facebook.fresco.vito.core.impl.VitoUtils;;;true;false;false
9011d264f3c54947f40fe0b706663eeec596bed4;Move Type;Type;<br>type <code>com.facebook.fresco.vito.core.Hierarcher</code><br>moved to<br><code>com.facebook.fresco.vito.core.impl.Hierarcher</code><br>;;com.facebook.fresco.vito.core.Hierarcher;;com.facebook.fresco.vito.core.impl.Hierarcher;;;true;false;true
3b68838a26920e9fdff7569a82a0d11dbd66dd68;Extract Type;Type;<br>extract type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code><br>from <code>com.facebook.fresco.vito.core.impl.ImagePipelineUtilsImpl</code><br>;;;;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.ImagePipelineUtilsImpl;;true;false;false
d4b6a235fad867d5b31fe59f79a95520f2fe7aef;Extract Supertype;Type;<br>extract superType <code>com.facebook.imagepipeline.core.ImagePipelineConfigInterface</code><br>from <code>com.facebook.imagepipeline.core.ImagePipelineConfig</code><br>;;;;com.facebook.imagepipeline.core.ImagePipelineConfigInterface;com.facebook.imagepipeline.core.ImagePipelineConfig;;false;false;false
9097833ccda41f367ebe004feefd8d142c7ab638;Move Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier</code><br>moved to<br><code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code><br>;;com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;;;false;false;false
9097833ccda41f367ebe004feefd8d142c7ab638;Gain Visibility in Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code><br>changed visibility from <code>private</code>to <code>public</code><br>;;com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;private;public;false;false;false
664b59cc3c68154395dfa0e1fd6cb75448b2d94e;Move Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code><br>moved to<br><code>com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier</code><br>;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;;com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier;;;true;false;false
664b59cc3c68154395dfa0e1fd6cb75448b2d94e;Lost Visibility in Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier</code><br>changed visibility from <code>public</code>to <code>private</code><br>;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;;com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier;public;private;true;false;false
6982e5e0242aa2666586093a624a30146dfdb629;Move Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier</code><br>moved to<br><code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code><br>;;com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;;;false;false;false
6982e5e0242aa2666586093a624a30146dfdb629;Gain Visibility in Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code><br>changed visibility from <code>private</code>to <code>public</code><br>;;com.facebook.fresco.vito.provider.impl.DefaultFrescoContext.NoOpCallerContextVerifier;;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;private;public;false;false;false
