commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoDrawable</code> <br>was removed<br>;FrescoDrawable;com.facebook.fresco.vito.core.FrescoDrawable;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoContext</code> <br>was removed<br>;FrescoContext;com.facebook.fresco.vito.core.FrescoContext;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoExperiments</code> <br>was removed<br>;FrescoExperiments;com.facebook.fresco.vito.core.FrescoExperiments;true;false;true
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoController</code> <br>was removed<br>;FrescoController;com.facebook.fresco.vito.core.FrescoController;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.ImageStateListener</code> <br>was removed<br>;ImageStateListener;com.facebook.fresco.vito.core.ImageStateListener;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoState</code> <br>was removed<br>;FrescoState;com.facebook.fresco.vito.core.FrescoState;true;false;false
8509b3cb3f8b424cb329f67207cfe7a56a57fea5;Remove Type;Type;<br>type <code>com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend</code> <br>was removed<br>;DelegatingAnimatedDrawableBackend;com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend;true;false;true
ca49c750e56478e2bf160b3e1ee392b19e98ab8e;Move Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code><br>moved to<br><code>com.facebook.fresco.vito.nativecode.NativeCircularBitmapRounding</code><br>;NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;true;false;false
ca49c750e56478e2bf160b3e1ee392b19e98ab8e;Move Type;Type;<br>type <code>com.facebook.fresco.vito.transformation.CircularBitmapTransformation</code><br>moved to<br><code>com.facebook.fresco.vito.nativecode.CircularBitmapTransformation</code><br>;CircularBitmapTransformation;com.facebook.fresco.vito.transformation.CircularBitmapTransformation;true;false;false
3b68838a26920e9fdff7569a82a0d11dbd66dd68;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code> added<br>;NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;false;false;false
3b68838a26920e9fdff7569a82a0d11dbd66dd68;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.core.impl.ImagePipelineUtilsImpl.CircularBitmapRounding</code> added<br>;CircularBitmapRounding;com.facebook.fresco.vito.core.impl.ImagePipelineUtilsImpl.CircularBitmapRounding;false;false;false
1e328af793c4803464509c39eefca8bf1190298b;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.FrescoControllerImpl</code> <br>was removed<br>;FrescoControllerImpl;com.facebook.fresco.vito.core.impl.FrescoControllerImpl;true;false;false
1e328af793c4803464509c39eefca8bf1190298b;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.ImagePipelineMultiUriHelper</code> <br>was removed<br>;ImagePipelineMultiUriHelper;com.facebook.fresco.vito.core.impl.ImagePipelineMultiUriHelper;true;false;false
1e328af793c4803464509c39eefca8bf1190298b;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.FrescoStateImpl</code> <br>was removed<br>;FrescoStateImpl;com.facebook.fresco.vito.core.impl.FrescoStateImpl;true;false;false
1e328af793c4803464509c39eefca8bf1190298b;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.debug.DebugOverlayFactory</code> <br>was removed<br>;DebugOverlayFactory;com.facebook.fresco.vito.core.impl.debug.DebugOverlayFactory;true;false;false
1e328af793c4803464509c39eefca8bf1190298b;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.debug.DefaultDebugOverlayFactory</code> <br>was removed<br>;DefaultDebugOverlayFactory;com.facebook.fresco.vito.core.impl.debug.DefaultDebugOverlayFactory;true;false;false
1e328af793c4803464509c39eefca8bf1190298b;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.debug.NoOpDebugOverlayFactory</code> <br>was removed<br>;NoOpDebugOverlayFactory;com.facebook.fresco.vito.core.impl.debug.NoOpDebugOverlayFactory;true;false;false
1e328af793c4803464509c39eefca8bf1190298b;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.FrescoContextImpl</code> <br>was removed<br>;FrescoContextImpl;com.facebook.fresco.vito.core.impl.FrescoContextImpl;true;false;false
d4b6a235fad867d5b31fe59f79a95520f2fe7aef;Add Type;Type;<br>Type <code>com.facebook.imagepipeline.core.ImagePipelineConfigInterface</code> added<br>;ImagePipelineConfigInterface;com.facebook.imagepipeline.core.ImagePipelineConfigInterface;false;false;false
271761d7d8768f8bfa6d8cb5316815f469e6ca47;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.DefaultFrescoContext</code> <br>was removed<br>;DefaultFrescoContext;com.facebook.fresco.vito.provider.impl.DefaultFrescoContext;true;false;false
6a1b9920a549f60090162f63570d319053057673;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.init.FrescoVito</code> added<br>;FrescoVito;com.facebook.fresco.vito.init.FrescoVito;false;false;false
9097833ccda41f367ebe004feefd8d142c7ab638;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code> added<br>;NoOpCallerContextVerifier;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;false;false;false
664b59cc3c68154395dfa0e1fd6cb75448b2d94e;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code> <br>was removed<br>;NoOpCallerContextVerifier;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;true;false;false
6982e5e0242aa2666586093a624a30146dfdb629;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier</code> added<br>;NoOpCallerContextVerifier;com.facebook.fresco.vito.provider.impl.NoOpCallerContextVerifier;false;false;false
672aa41b5a340818b15c7a805e5d508fa1f8c8fc;Add Type;Type;<br>Type <code>com.facebook.common.callercontext.ContextChain</code> added<br>;ContextChain;com.facebook.common.callercontext.ContextChain;false;false;true
0a84ebee9c4abacd1d8438d5756f87ef6cc57811;Add Type;Type;<br>Type <code>com.facebook.imagepipeline.producers.PriorityNetworkFetcher.NonrecoverableException</code> added<br>;NonrecoverableException;com.facebook.imagepipeline.producers.PriorityNetworkFetcher.NonrecoverableException;false;false;true
6e14231e87f5d77b0883b1ae81b85d064ab799d8;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.litho.FrescoVitoTapToRetryImageSpec</code> added<br>;FrescoVitoTapToRetryImageSpec;com.facebook.fresco.vito.litho.FrescoVitoTapToRetryImageSpec;false;false;false
4d8848ad6b3fe9aaf02bd9fa5bcd3d065052af77;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowDrawable</code> added<br>;FrescoVitoSlideshowDrawable;com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowDrawable;false;false;false
4d8848ad6b3fe9aaf02bd9fa5bcd3d065052af77;Add Type;Type;<br>Type <code>com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowComponentSpec</code> added<br>;FrescoVitoSlideshowComponentSpec;com.facebook.fresco.vito.litho.slideshow.FrescoVitoSlideshowComponentSpec;false;false;false
