commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
9dc9c51d0b984651f094ffe6146d38f1a49477ba;Move Type;Type;<br>type <code>com.facebook.fresco.vito.core.VitoUtils</code><br>moved to<br><code>com.facebook.fresco.vito.core.impl.VitoUtils</code><br>;;com.facebook.fresco.vito.core.VitoUtils;;com.facebook.fresco.vito.core.impl.VitoUtils;;;true;false;false
9011d264f3c54947f40fe0b706663eeec596bed4;Move Type;Type;<br>type <code>com.facebook.fresco.vito.core.Hierarcher</code><br>moved to<br><code>com.facebook.fresco.vito.core.impl.Hierarcher</code><br>;;com.facebook.fresco.vito.core.Hierarcher;;com.facebook.fresco.vito.core.impl.Hierarcher;;;true;false;true
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoContext</code><br>was removed<br>;;com.facebook.fresco.vito.core.FrescoContext;;;;;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoController</code><br>was removed<br>;;com.facebook.fresco.vito.core.FrescoController;;;;;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoDrawable</code><br>was removed<br>;;com.facebook.fresco.vito.core.FrescoDrawable;;;;;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoExperiments</code><br>was removed<br>;;com.facebook.fresco.vito.core.FrescoExperiments;;;;;true;false;true
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.FrescoState</code><br>was removed<br>;;com.facebook.fresco.vito.core.FrescoState;;;;;true;false;false
8e1004d5be5054ec8b3e24a6e2aba7bc2c0bb04a;Remove Type;Type;<br>type <code>com.facebook.fresco.vito.core.ImageStateListener</code><br>was removed<br>;;com.facebook.fresco.vito.core.ImageStateListener;;;;;false;true;false
8509b3cb3f8b424cb329f67207cfe7a56a57fea5;Remove Type;Type;<br>type <code>com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend</code><br>was removed<br>;;com.facebook.imagepipeline.animated.base.DelegatingAnimatedDrawableBackend;;;;;true;false;true
ca49c750e56478e2bf160b3e1ee392b19e98ab8e;Move Type;Type;<br>type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code><br>moved to<br><code>com.facebook.fresco.vito.nativecode.NativeCircularBitmapRounding</code><br>;;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;;com.facebook.fresco.vito.nativecode.NativeCircularBitmapRounding;;;true;false;false
ca49c750e56478e2bf160b3e1ee392b19e98ab8e;Move Type;Type;<br>type <code>com.facebook.fresco.vito.transformation.CircularBitmapTransformation</code><br>moved to<br><code>com.facebook.fresco.vito.nativecode.CircularBitmapTransformation</code><br>;;com.facebook.fresco.vito.transformation.CircularBitmapTransformation;;com.facebook.fresco.vito.nativecode.CircularBitmapTransformation;;;true;false;false
3b68838a26920e9fdff7569a82a0d11dbd66dd68;Extract Type;Type;<br>extract type <code>com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding</code><br>from <code>com.facebook.fresco.vito.core.impl.ImagePipelineUtilsImpl</code><br>;;;;com.facebook.fresco.vito.core.impl.NativeCircularBitmapRounding;com.facebook.fresco.vito.core.impl.ImagePipelineUtilsImpl;;true;false;false
