commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.AbstractHttpClient</code><br>was removed<br>;;com.turbomanage.httpclient.AbstractHttpClient;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.AsyncCallback</code><br>was removed<br>;;com.turbomanage.httpclient.AsyncCallback;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.AsyncHttpClient</code><br>was removed<br>;;com.turbomanage.httpclient.AsyncHttpClient;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.AsyncRequestExecutor</code><br>was removed<br>;;com.turbomanage.httpclient.AsyncRequestExecutor;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.AsyncRequestExecutorFactory</code><br>was removed<br>;;com.turbomanage.httpclient.AsyncRequestExecutorFactory;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.BasicHttpClient</code><br>was removed<br>;;com.turbomanage.httpclient.BasicHttpClient;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.BasicRequestHandler</code><br>was removed<br>;;com.turbomanage.httpclient.BasicRequestHandler;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.ConsoleRequestLogger</code><br>was removed<br>;;com.turbomanage.httpclient.ConsoleRequestLogger;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpDelete</code><br>was removed<br>;;com.turbomanage.httpclient.HttpDelete;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpGet</code><br>was removed<br>;;com.turbomanage.httpclient.HttpGet;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpHead</code><br>was removed<br>;;com.turbomanage.httpclient.HttpHead;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpMethod</code><br>was removed<br>;;com.turbomanage.httpclient.HttpMethod;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpPost</code><br>was removed<br>;;com.turbomanage.httpclient.HttpPost;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpPut</code><br>was removed<br>;;com.turbomanage.httpclient.HttpPut;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpRequest</code><br>was removed<br>;;com.turbomanage.httpclient.HttpRequest;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpRequestException</code><br>was removed<br>;;com.turbomanage.httpclient.HttpRequestException;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.HttpResponse</code><br>was removed<br>;;com.turbomanage.httpclient.HttpResponse;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.ParameterMap</code><br>was removed<br>;;com.turbomanage.httpclient.ParameterMap;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.RequestHandler</code><br>was removed<br>;;com.turbomanage.httpclient.RequestHandler;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.RequestLogger</code><br>was removed<br>;;com.turbomanage.httpclient.RequestLogger;;;;;true;false;true
4c311a0d159ae77de7263098447ffab717cb674a;Remove Type;Type;<br>type <code>com.turbomanage.httpclient.android.AndroidHttpClient</code><br>was removed<br>;;com.turbomanage.httpclient.android.AndroidHttpClient;;;;;true;false;true
