commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;element;path
a4c7b0f08d49a396eeb06a17ec3632ebd3079524;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.Printer</code><br> changed visibility from <code>default</code> to <code>public</code><br>;;;com.orhanobut.logger.Printer;com.orhanobut.logger.Printer;default;public;false;false;false;Printer;com.orhanobut.logger.Printer
95aeafcb66421372ff9e0cd7e60dd348d7f0fa9b;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.DiskLogStrategy.WriteHandler</code><br> changed visibility from <code>private</code> to <code>default</code><br>;;;com.orhanobut.logger.DiskLogStrategy.WriteHandler;com.orhanobut.logger.DiskLogStrategy.WriteHandler;private;default;false;false;false;WriteHandler;com.orhanobut.logger.DiskLogStrategy.WriteHandler
bc0516be6c049bd2949653ddd5fb77b6c440c468;Remove Type;Type;<br>type <code>com.orhanobut.logger.AndroidCsvFileLogger</code> <br>was removed<br>;com.orhanobut.logger.AndroidCsvFileLogger;com.orhanobut.logger.AndroidCsvFileLogger;;;;;true;false;true;AndroidCsvFileLogger;com.orhanobut.logger.AndroidCsvFileLogger
bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;type <code>com.orhanobut.logger.AndroidLogStrategy</code><br>renamed to<br><code>com.orhanobut.logger.LogcatLogStrategy</code><br>;com.orhanobut.logger.AndroidLogStrategy;com.orhanobut.logger.AndroidLogStrategy;com.orhanobut.logger.LogcatLogStrategy;com.orhanobut.logger.LogcatLogStrategy;;;true;false;false;AndroidLogStrategy;com.orhanobut.logger.AndroidLogStrategy
bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;type <code>com.orhanobut.logger.AbstractAndroidFileLogger</code><br>renamed to<br><code>com.orhanobut.logger.DiskLogStrategy</code><br>;com.orhanobut.logger.AbstractAndroidFileLogger;com.orhanobut.logger.AbstractAndroidFileLogger;com.orhanobut.logger.DiskLogStrategy;com.orhanobut.logger.DiskLogStrategy;;;true;false;true;AbstractAndroidFileLogger;com.orhanobut.logger.AbstractAndroidFileLogger
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>Type <code>com.orhanobut.logger.DiskLogAdapter</code> added<br>;;;com.orhanobut.logger.DiskLogAdapter;com.orhanobut.logger.DiskLogAdapter;;;false;false;false;DiskLogAdapter;com.orhanobut.logger.DiskLogAdapter
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>Type <code>com.orhanobut.logger.CsvFormatStrategy.Builder</code> added<br>;;;com.orhanobut.logger.CsvFormatStrategy.Builder;com.orhanobut.logger.CsvFormatStrategy.Builder;;;false;false;false;Builder;com.orhanobut.logger.CsvFormatStrategy.Builder
91df22c93189a43bada2c9944d7f0514cbf2cf3d;Remove Type;Type;<br>type <code>com.orhanobut.logger.LogLevel</code> <br>was removed<br>;com.orhanobut.logger.LogLevel;com.orhanobut.logger.LogLevel;;;;;true;false;false;LogLevel;com.orhanobut.logger.LogLevel
90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.FileLogger</code> <br>was removed<br>;com.orhanobut.logger.FileLogger;com.orhanobut.logger.FileLogger;;;;;true;false;false;FileLogger;com.orhanobut.logger.FileLogger
90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.Settings</code> <br>was removed<br>;com.orhanobut.logger.Settings;com.orhanobut.logger.Settings;;;;;true;false;false;Settings;com.orhanobut.logger.Settings
