commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
95aeafcb66421372ff9e0cd7e60dd348d7f0fa9b;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.DiskLogStrategy.WriteHandler</code><br> changed visibility from <code>private</code> to <code>default</code><br>;;;com.orhanobut.logger.DiskLogStrategy.WriteHandler;com.orhanobut.logger.DiskLogStrategy.WriteHandler;private;default;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.PrettyFormatStrategy</code> added<br>;;;com.orhanobut.logger.PrettyFormatStrategy;com.orhanobut.logger.PrettyFormatStrategy;;;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.AndroidLogStrategy</code> added<br>;;;com.orhanobut.logger.AndroidLogStrategy;com.orhanobut.logger.AndroidLogStrategy;;;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Remove Type;Type;<br>type <code>com.orhanobut.logger.Logger.Settings</code> <br>was removed<br>;com.orhanobut.logger.Logger.Settings;com.orhanobut.logger.Logger.Settings;;;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Type;Type;<br>Type <code>com.orhanobut.logger.Settings</code> added<br>;;;com.orhanobut.logger.Settings;com.orhanobut.logger.Settings;;;false;false;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Remove Method;Method;<br>method <code>resetSettings()</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;resetSettings();com.orhanobut.logger.Logger;;;;;true;false;true
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Method;Method;<br>method <code>clearLogAdapters()</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;clearLogAdapters();com.orhanobut.logger.Logger;;;false;false;false
26228b17f923893cd27cad91266d9a443e11a3fe;Remove Method;Method;<br>method <code>logTool(LogTool logTool)</code><br>removed from <code>com.orhanobut.logger.Settings</code><br>;logTool(LogTool logTool);com.orhanobut.logger.Settings;;;;;true;false;false
26228b17f923893cd27cad91266d9a443e11a3fe;Remove Method;Method;<br>method <code>getLogTool()</code><br>removed from <code>com.orhanobut.logger.Settings</code><br>;getLogTool();com.orhanobut.logger.Settings;;;;;true;false;false
26228b17f923893cd27cad91266d9a443e11a3fe;Add Method;Method;<br>method <code>logAdapter(LogAdapter logAdapter)</code><br>added in <code>com.orhanobut.logger.Settings</code><br>;;;logAdapter(LogAdapter logAdapter);com.orhanobut.logger.Settings;;;false;false;false
26228b17f923893cd27cad91266d9a443e11a3fe;Add Method;Method;<br>method <code>getLogAdapter()</code><br>added in <code>com.orhanobut.logger.Settings</code><br>;;;getLogAdapter();com.orhanobut.logger.Settings;;;false;false;false
dae90084660dbe4e4e400a9611af0132c7169978;Add Method;Method;<br>method <code>methodCount(int methodCount)</code><br>added in <code>com.orhanobut.logger.Settings</code><br>;;;methodCount(int methodCount);com.orhanobut.logger.Settings;;;false;false;false
dae90084660dbe4e4e400a9611af0132c7169978;Add Method;Method;<br>method <code>logLevel(LogLevel logLevel)</code><br>added in <code>com.orhanobut.logger.Settings</code><br>;;;logLevel(LogLevel logLevel);com.orhanobut.logger.Settings;;;false;false;false
dae90084660dbe4e4e400a9611af0132c7169978;Add Method;Method;<br>method <code>methodOffset(int offset)</code><br>added in <code>com.orhanobut.logger.Settings</code><br>;;;methodOffset(int offset);com.orhanobut.logger.Settings;;;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Remove Method;Method;<br>method <code>e(String message)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;e(String message);com.orhanobut.logger.Logger;;;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Remove Method;Method;<br>method <code>e(Exception e)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;e(Exception e);com.orhanobut.logger.Logger;;;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Remove Method;Method;<br>method <code>e(String tag, Exception e)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;e(String tag, Exception e);com.orhanobut.logger.Logger;;;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Remove Method;Method;<br>method <code>e(String message, int methodCount)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;e(String message, int methodCount);com.orhanobut.logger.Logger;;;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Remove Method;Method;<br>method <code>e(String tag, String message, Exception e)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;e(String tag, String message, Exception e);com.orhanobut.logger.Logger;;;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Move Method;Method;method<code>i(String, Object[])</code><br>moved from <code>com.orhanobut.logger.Logger</code><br>to <code>com.orhanobut.logger.LoggerPrinter</code><br>;;com.orhanobut.logger.Logger;i(String, Object[]);com.orhanobut.logger.LoggerPrinter;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Move Method;Method;method<code>v(String, Object[])</code><br>moved from <code>com.orhanobut.logger.Logger</code><br>to <code>com.orhanobut.logger.LoggerPrinter</code><br>;;com.orhanobut.logger.Logger;v(String, Object[]);com.orhanobut.logger.LoggerPrinter;;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Method;Method;<br>method <code>d(String message, Object... args)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;d(String message, Object... args);com.orhanobut.logger.Logger;;;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Method;Method;<br>method <code>e(String message, Object... args)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;e(String message, Object... args);com.orhanobut.logger.Logger;;;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Method;Method;<br>method <code>e(Throwable throwable, String message, Object... args)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;e(Throwable throwable, String message, Object... args);com.orhanobut.logger.Logger;;;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Method;Method;<br>method <code>i(String message, Object... args)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;i(String message, Object... args);com.orhanobut.logger.Logger;;;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Method;Method;<br>method <code>v(String message, Object... args)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;v(String message, Object... args);com.orhanobut.logger.Logger;;;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Method;Method;<br>method <code>wtf(String message, Object... args)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;wtf(String message, Object... args);com.orhanobut.logger.Logger;;;false;false;false
7806d1d20f0541ff1765bf8d81687f9d8b3ebab5;Add Method;Method;<br>method <code>init(LogLevel logLevel, String tag)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;init(LogLevel logLevel, String tag);com.orhanobut.logger.Logger;;;false;false;true
6b9d213c1f38b256a294f6b70c49f7cc8b4528de;Remove Method;Method;<br>method <code>t(String tag, int methodCount)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;t(String tag, int methodCount);com.orhanobut.logger.Logger;;;;;true;false;true
143e1f8a96429bcae791bd27ce2d3fd9be3cc71b;Remove Method;Method;<br>method <code>log(int priority, String message, Object... args)</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;log(int priority, String message, Object... args);com.orhanobut.logger.Logger;;;;;true;false;false
143e1f8a96429bcae791bd27ce2d3fd9be3cc71b;Add Method;Method;<br>method <code>log(int priority, String tag, String message, Throwable throwable)</code><br>added in <code>com.orhanobut.logger.Logger</code><br>;;;log(int priority, String tag, String message, Throwable throwable);com.orhanobut.logger.Logger;;;false;false;false
30f73221e4a129023a274b8e4f38560b7939030a;Remove Method;Method;<br>method <code>clear()</code><br>removed from <code>com.orhanobut.logger.Logger</code><br>;clear();com.orhanobut.logger.Logger;;;;;true;false;false
