commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
a4c7b0f08d49a396eeb06a17ec3632ebd3079524;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.Printer</code><br> changed visibility from <code>default</code> to <code>public</code><br>;Printer;com.orhanobut.logger.Printer;false;false;false
95aeafcb66421372ff9e0cd7e60dd348d7f0fa9b;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.DiskLogStrategy.WriteHandler</code><br> changed visibility from <code>private</code> to <code>default</code><br>;WriteHandler;com.orhanobut.logger.DiskLogStrategy.WriteHandler;false;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Remove Type;Type;<br>type <code>com.orhanobut.logger.AndroidCsvFileLogger</code> <br>was removed<br>;AndroidCsvFileLogger;com.orhanobut.logger.AndroidCsvFileLogger;true;false;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;type <code>com.orhanobut.logger.AndroidLogStrategy</code><br>renamed to<br><code>com.orhanobut.logger.LogcatLogStrategy</code><br>;AndroidLogStrategy;com.orhanobut.logger.AndroidLogStrategy;true;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Rename Type;Type;type <code>com.orhanobut.logger.AbstractAndroidFileLogger</code><br>renamed to<br><code>com.orhanobut.logger.DiskLogStrategy</code><br>;AbstractAndroidFileLogger;com.orhanobut.logger.AbstractAndroidFileLogger;true;false;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>Type <code>com.orhanobut.logger.DiskLogAdapter</code> added<br>;DiskLogAdapter;com.orhanobut.logger.DiskLogAdapter;false;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Add Type;Type;<br>Type <code>com.orhanobut.logger.CsvFormatStrategy.Builder</code> added<br>;Builder;com.orhanobut.logger.CsvFormatStrategy.Builder;false;false;false
91df22c93189a43bada2c9944d7f0514cbf2cf3d;Remove Type;Type;<br>type <code>com.orhanobut.logger.LogLevel</code> <br>was removed<br>;LogLevel;com.orhanobut.logger.LogLevel;true;false;false
90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.FileLogger</code> <br>was removed<br>;FileLogger;com.orhanobut.logger.FileLogger;true;false;false
90f2f54fb19fce983796394dd6b59b69967f18db;Remove Type;Type;<br>type <code>com.orhanobut.logger.Settings</code> <br>was removed<br>;Settings;com.orhanobut.logger.Settings;true;false;false
90f2f54fb19fce983796394dd6b59b69967f18db;Add Type;Type;<br>Type <code>com.orhanobut.logger.CsvFormatStrategy</code> added<br>;CsvFormatStrategy;com.orhanobut.logger.CsvFormatStrategy;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.PrettyFormatStrategy</code> added<br>;PrettyFormatStrategy;com.orhanobut.logger.PrettyFormatStrategy;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.PrettyFormatStrategy.Builder</code> added<br>;Builder;com.orhanobut.logger.PrettyFormatStrategy.Builder;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.AndroidLogStrategy</code> added<br>;AndroidLogStrategy;com.orhanobut.logger.AndroidLogStrategy;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.FormatStrategy</code> added<br>;FormatStrategy;com.orhanobut.logger.FormatStrategy;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Add Type;Type;<br>Type <code>com.orhanobut.logger.LogStrategy</code> added<br>;LogStrategy;com.orhanobut.logger.LogStrategy;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Gain Visibility in Type;Type;<br> type <code>com.orhanobut.logger.AndroidLogAdapter</code><br> changed visibility from <code>default</code> to <code>public</code><br>;AndroidLogAdapter;com.orhanobut.logger.AndroidLogAdapter;false;false;false
32f1653cf86062b188619be32286c5d5a95b4075;Lost Visibility in Type;Type;<br> type <code>com.orhanobut.logger.Printer</code><br> changed visibility from <code>public</code> to <code>default</code><br>;Printer;com.orhanobut.logger.Printer;true;false;false
a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>Type <code>com.orhanobut.logger.FileLogger</code> added<br>;FileLogger;com.orhanobut.logger.FileLogger;false;false;false
a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>Type <code>com.orhanobut.logger.AndroidCsvFileLogger</code> added<br>;AndroidCsvFileLogger;com.orhanobut.logger.AndroidCsvFileLogger;false;false;true
a5fc14128abab13b02448146b87cde6366c08437;Add Type;Type;<br>Type <code>com.orhanobut.logger.AbstractAndroidFileLogger</code> added<br>;AbstractAndroidFileLogger;com.orhanobut.logger.AbstractAndroidFileLogger;false;false;true
26228b17f923893cd27cad91266d9a443e11a3fe;Rename Type;Type;type <code>com.orhanobut.logger.LogTool</code><br>renamed to<br><code>com.orhanobut.logger.LogAdapter</code><br>;LogTool;com.orhanobut.logger.LogTool;true;false;false
7ba738304b4203419f60dc71a7c3ba69148b1df5;Lost Visibility in Type;Type;<br> type <code>com.orhanobut.logger.AndroidLogTool</code><br> changed visibility from <code>public</code> to <code>default</code><br>;AndroidLogTool;com.orhanobut.logger.AndroidLogTool;true;false;false
dae90084660dbe4e4e400a9611af0132c7169978;Add Type;Type;<br>Type <code>com.orhanobut.logger.LogTool</code> added<br>;LogTool;com.orhanobut.logger.LogTool;false;false;false
dae90084660dbe4e4e400a9611af0132c7169978;Add Type;Type;<br>Type <code>com.orhanobut.logger.AndroidLogTool</code> added<br>;AndroidLogTool;com.orhanobut.logger.AndroidLogTool;false;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Remove Type;Type;<br>type <code>com.orhanobut.logger.Logger.Settings</code> <br>was removed<br>;Settings;com.orhanobut.logger.Logger.Settings;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Type;Type;<br>Type <code>com.orhanobut.logger.Settings</code> added<br>;Settings;com.orhanobut.logger.Settings;false;false;true
a1f5f1152e7d719df5297342c6be4fc0943502d2;Add Type;Type;<br>Type <code>com.orhanobut.logger.Printer</code> added<br>;Printer;com.orhanobut.logger.Printer;false;false;true
7806d1d20f0541ff1765bf8d81687f9d8b3ebab5;Add Type;Type;<br>Type <code>com.orhanobut.logger.LogLevel</code> added<br>;LogLevel;com.orhanobut.logger.LogLevel;false;false;true
