commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;isEqualBreakingChange;isEqualDeprecated;isEqualJavaDoc
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Exclusion</code><br>was removed<br>;;com.squareup.leakcanary.Exclusion;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Exclusion</code> <br>was removed<br>;com.squareup.leakcanary.Exclusion;com.squareup.leakcanary.Exclusion;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.HeapAnalyzer</code><br>was removed<br>;;com.squareup.leakcanary.HeapAnalyzer;;;;;true;false;true;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.HeapAnalyzer</code> <br>was removed<br>;com.squareup.leakcanary.HeapAnalyzer;com.squareup.leakcanary.HeapAnalyzer;;;;;true;false;true;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.LeakReference</code><br>was removed<br>;;com.squareup.leakcanary.LeakReference;;;;;true;false;true;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.LeakReference</code> <br>was removed<br>;com.squareup.leakcanary.LeakReference;com.squareup.leakcanary.LeakReference;;;;;true;false;true;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability</code><br>was removed<br>;;com.squareup.leakcanary.Reachability;;;;;true;false;true;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability</code> <br>was removed<br>;com.squareup.leakcanary.Reachability;com.squareup.leakcanary.Reachability;;;;;true;false;true;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability.Inspector</code><br>was removed<br>;;com.squareup.leakcanary.Reachability.Inspector;;;;;true;false;true;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability.Inspector</code> <br>was removed<br>;com.squareup.leakcanary.Reachability.Inspector;com.squareup.leakcanary.Reachability.Inspector;;;;;true;false;true;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability.Status</code><br>was removed<br>;;com.squareup.leakcanary.Reachability.Status;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability.Status</code> <br>was removed<br>;com.squareup.leakcanary.Reachability.Status;com.squareup.leakcanary.Reachability.Status;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AbstractAnalysisResultService</code><br>was removed<br>;;com.squareup.leakcanary.AbstractAnalysisResultService;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AbstractAnalysisResultService</code> <br>was removed<br>;com.squareup.leakcanary.AbstractAnalysisResultService;com.squareup.leakcanary.AbstractAnalysisResultService;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AnalyzedHeap</code><br>was removed<br>;;com.squareup.leakcanary.AnalyzedHeap;;;;;true;false;true;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AnalyzedHeap</code> <br>was removed<br>;com.squareup.leakcanary.AnalyzedHeap;com.squareup.leakcanary.AnalyzedHeap;;;;;true;false;true;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidDebuggerControl</code><br>was removed<br>;;com.squareup.leakcanary.AndroidDebuggerControl;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidDebuggerControl</code> <br>was removed<br>;com.squareup.leakcanary.AndroidDebuggerControl;com.squareup.leakcanary.AndroidDebuggerControl;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidExcludedRefs</code><br>was removed<br>;;com.squareup.leakcanary.AndroidExcludedRefs;;;;;true;false;true;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidExcludedRefs</code> <br>was removed<br>;com.squareup.leakcanary.AndroidExcludedRefs;com.squareup.leakcanary.AndroidExcludedRefs;;;;;true;false;true;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidHeapDumper</code><br>was removed<br>;;com.squareup.leakcanary.AndroidHeapDumper;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidHeapDumper</code> <br>was removed<br>;com.squareup.leakcanary.AndroidHeapDumper;com.squareup.leakcanary.AndroidHeapDumper;;;;;true;false;false;;true;true;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector</code><br>was removed<br>;;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector;;;;;true;false;false;;b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector;;;;;true;false;false;;true;true;true
