category;common;onlyAPIMiner;onlyAPIDiff
Add Type;62;6;4
Remove Type;65;1;1
Add Method;56;16;35
Remove Method;24;38;28
Add Field;17;5;4
Remove Field;6;0;8
Gain Visibility in Type;0;0;0
Lost Visibility in Type;0;0;0
Gain Visibility in Method;2;2;5
Lost Visibility in Method;2;0;8
Gain Visibility in Field;4;0;5
Lost Visibility in Field;0;0;4
Add Final Modifier in Type;0;0;1
Remove Final Modifier in Type;0;0;3
Add Final Modifier in Method;0;0;5
Remove Final Modifier in Method;0;1;0
Add Final Modifier in Field;0;0;0
Remove Final Modifier in Field;0;0;0
Add Static Modifier in Type;0;0;0
Remove Static Modifier in Type;0;0;1
Add Static Modifier in Method;0;0;0
Remove Static Modifier in Method;0;0;0
Add Static Modifier in Field;0;0;0
Remove Static Modifier in Field;0;0;0
Deprecated Type;0;0;0
Deprecated Method;5;2;6
Deprecated Field;3;0;0
Change in Supertype;2;0;0
Remove Supertype;0;0;1
Add Supertype;0;0;1
Change in Exception List;0;0;0
Change in Field Default Value;7;3;0
Rename Type;0;1;0
Move Type;0;0;0
Move and Rename Type;1;1;0
Extract Supertype;0;0;0
Extract Type;0;2;0
Extract Subtype;0;1;0
Move Method;0;2;0
Extract Method;0;15;3
Rename Method;3;3;2
Pull Up Method;0;0;1
Push Down Method;2;4;0
Inline Method;0;3;0
Move and Rename Method;0;0;0
Change in Parameter List;0;22;0
Change in Return Type Method;3;10;5
Rename Field;0;4;0
Move Field;0;0;0
Pull Up Field;0;0;0
Push Down Field;0;0;0
Move and Rename Field;0;0;0
Extract Field;0;0;0
Change in Field Type;7;3;0
