commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;element;path
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability</code> <br>was removed<br>;com.squareup.leakcanary.Reachability;com.squareup.leakcanary.Reachability;;;;;true;false;true;Reachability;com.squareup.leakcanary.Reachability
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability.Inspector</code> <br>was removed<br>;com.squareup.leakcanary.Reachability.Inspector;com.squareup.leakcanary.Reachability.Inspector;;;;;true;false;true;Inspector;com.squareup.leakcanary.Reachability.Inspector
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.HeapAnalyzer</code> <br>was removed<br>;com.squareup.leakcanary.HeapAnalyzer;com.squareup.leakcanary.HeapAnalyzer;;;;;true;false;true;HeapAnalyzer;com.squareup.leakcanary.HeapAnalyzer
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.LeakReference</code> <br>was removed<br>;com.squareup.leakcanary.LeakReference;com.squareup.leakcanary.LeakReference;;;;;true;false;true;LeakReference;com.squareup.leakcanary.LeakReference
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Exclusion</code> <br>was removed<br>;com.squareup.leakcanary.Exclusion;com.squareup.leakcanary.Exclusion;;;;;true;false;false;Exclusion;com.squareup.leakcanary.Exclusion
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector;;;;;true;false;false;ViewInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector;;;;;true;false;false;ActivityInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector;;;;;true;false;false;DialogInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector;;;;;true;false;false;ApplicationInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector</code> <br>was removed<br>;com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector;;;;;true;false;false;FragmentInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector
