commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
30fb172b92d7acbeafb4f269d4a382189ba5e2d6;Remove Type;Type;<br>type <code>com.squareup.leakcanary.FakeDataBuffer</code><br>was removed<br>;;com.squareup.leakcanary.FakeDataBuffer;;;;;true;false;false
f22f619bde07e4ced734570b536afb66f2dce1f0;Add Type;Type;<br>type <code>com.squareup.leakcanary.LeakCanary</code> added<br>;;;;com.squareup.leakcanary.LeakCanary;;;false;false;false
1a76cadc14a0de88a68de2a52a2c455e913ddf47;Rename Type;Type;<br>type <code>com.squareup.leakcanary.FakeHprofBuffer</code><br>renamed to<br><code>com.squareup.leakcanary.FakeDataBuffer</code><br>;;com.squareup.leakcanary.FakeHprofBuffer;;com.squareup.leakcanary.FakeDataBuffer;;;true;false;false
f66083d9333faf37216855a2ba51be765758b0d3;Add Type;Type;<br>type <code>com.squareup.leakcanary.LeakCanary</code> added<br>;;;;com.squareup.leakcanary.LeakCanary;;;false;false;false
d34069ad342b5ab0d43170782827d6a86bb95f28;Add Type;Type;<br>type <code>com.squareup.leakcanary.LeakCanary</code> added<br>;;;;com.squareup.leakcanary.LeakCanary;;;false;false;false
5663452f85df6f1dc3cfa8fd91b99b2c3068179a;Extract Type;Type;<br>extract type <code>com.squareup.leakcanary.HeapDump.Builder</code><br>from <code>com.squareup.leakcanary.RefWatcher</code><br>;;;;com.squareup.leakcanary.HeapDump.Builder;com.squareup.leakcanary.RefWatcher;;true;false;false
5663452f85df6f1dc3cfa8fd91b99b2c3068179a;Extract Type;Type;<br>extract type <code>com.squareup.leakcanary.HeapDump.Builder</code><br>from <code>com.squareup.leakcanary.RefWatcherBuilder</code><br>;;;;com.squareup.leakcanary.HeapDump.Builder;com.squareup.leakcanary.RefWatcherBuilder;;true;false;false
50a9a0aec4510f7c1450281d438c86eefffa9330;Extract Subtype;Type;<br>extract subType <code>com.squareup.leakcanary.ExcludedRefs.BuilderWithParams</code><br>from <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>;;;;com.squareup.leakcanary.ExcludedRefs.BuilderWithParams;com.squareup.leakcanary.ExcludedRefs.Builder;;true;false;false
45883e4d5f649b1df86f14637b8c69d642aca8d7;Add Type;Type;<br>type <code>com.squareup.leakcanary.FakeHprofBuffer</code> added<br>;;;;com.squareup.leakcanary.FakeHprofBuffer;;;false;false;false
46a6216f03bb05c5596ebfb8929d332649de01b0;Add Type;Type;<br>type <code>com.squareup.leakcanary.LeakCanary</code> added<br>;;;;com.squareup.leakcanary.LeakCanary;;;false;false;false
46a6216f03bb05c5596ebfb8929d332649de01b0;Add Type;Type;<br>type <code>com.squareup.leakcanary.RefWatcher</code> added<br>;;;;com.squareup.leakcanary.RefWatcher;;;false;false;true
c2d938fb0d63f5c6c4d67dcae53158dc59ef9130;Move and Rename Type;Type;<br>type <code>com.squareup.leakcanary.ExcludedRefs</code><br>moved and renamed to<br><code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>;;com.squareup.leakcanary.ExcludedRefs;;com.squareup.leakcanary.ExcludedRefs.Builder;;;true;false;false
d126a1104355689e47bb3b79169d58248f2edaab;Remove Method;Method;<br>method <code>HeapAnalyzer(ExcludedRefs excludedRefs)</code><br>removed from <code>com.squareup.leakcanary.HeapAnalyzer</code><br>;HeapAnalyzer(ExcludedRefs excludedRefs);com.squareup.leakcanary.HeapAnalyzer;;;;;false;true;true
4fd47950f8d0f3c4583136b9a36144db1eb027bd;Change in Parameter List;Method;<br>method <code>AndroidHeapDumper(Context context, LeakDirectoryProvider leakDirectoryProvider, RefWatcher refWatcher)</code><br>in <code>com.squareup.leakcanary.AndroidHeapDumper</code><br>changed the list parameters<br>to <code>AndroidHeapDumper(Context context, LeakDirectoryProvider leakDirectoryProvider)</code><br>in <code>com.squareup.leakcanary.AndroidHeapDumper</code><br>;AndroidHeapDumper(Context, LeakDirectoryProvider, RefWatcher);com.squareup.leakcanary.AndroidHeapDumper;AndroidHeapDumper(Context, LeakDirectoryProvider);com.squareup.leakcanary.AndroidHeapDumper;;;true;false;false
03d08ae171d0b8d0778f89cc40669582fd1818c7;Add Method;Method;<br>method <code>hasPendingHeapDump()</code><br>added in <code>com.squareup.leakcanary.LeakDirectoryProvider</code><br>;;;hasPendingHeapDump();com.squareup.leakcanary.LeakDirectoryProvider;;;false;false;false
73fc8e13e352d90e19b27b8601624c6443c29c44;Remove Method;Method;<br>method <code>checkForLeak(File heapDumpFile, String referenceKey)</code><br>removed from <code>com.squareup.leakcanary.HeapAnalyzer</code><br>;checkForLeak(File heapDumpFile, String referenceKey);com.squareup.leakcanary.HeapAnalyzer;;;;;false;true;true
73fc8e13e352d90e19b27b8601624c6443c29c44;Remove Method;Method;<br>method <code>findTrackedReferences(File heapDumpFile)</code><br>removed from <code>com.squareup.leakcanary.HeapAnalyzer</code><br>;findTrackedReferences(File heapDumpFile);com.squareup.leakcanary.HeapAnalyzer;;;;;true;false;false
c9ec725cc3398dcc59914b2aea4a56bed434d90b;Deprecated Method;Method;<br>method <code>checkForLeak(File heapDumpFile, String referenceKey, boolean computeRetainedSize)</code><br>deprecated in <code>com.squareup.leakcanary.HeapAnalyzer</code><br>;checkForLeak(File heapDumpFile, String referenceKey, boolean computeRetainedSize);com.squareup.leakcanary.HeapAnalyzer;checkForLeak(File heapDumpFile, String referenceKey, boolean computeRetainedSize);com.squareup.leakcanary.HeapAnalyzer;;;false;true;true
c9ec725cc3398dcc59914b2aea4a56bed434d90b;Change in Parameter List;Method;<br>method <code>AndroidHeapDumper(Context context, LeakDirectoryProvider leakDirectoryProvider)</code><br>in <code>com.squareup.leakcanary.AndroidHeapDumper</code><br>changed the list parameters<br>to <code>AndroidHeapDumper(Context context, LeakDirectoryProvider leakDirectoryProvider, RefWatcher refWatcher)</code><br>in <code>com.squareup.leakcanary.AndroidHeapDumper</code><br>;AndroidHeapDumper(Context, LeakDirectoryProvider);com.squareup.leakcanary.AndroidHeapDumper;AndroidHeapDumper(Context, LeakDirectoryProvider, RefWatcher);com.squareup.leakcanary.AndroidHeapDumper;;;true;false;false
