commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability</code> <br>was removed<br>;Reachability;com.squareup.leakcanary.Reachability;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability.Inspector</code> <br>was removed<br>;Inspector;com.squareup.leakcanary.Reachability.Inspector;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.HeapAnalyzer</code> <br>was removed<br>;HeapAnalyzer;com.squareup.leakcanary.HeapAnalyzer;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.LeakReference</code> <br>was removed<br>;LeakReference;com.squareup.leakcanary.LeakReference;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Exclusion</code> <br>was removed<br>;Exclusion;com.squareup.leakcanary.Exclusion;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector</code> <br>was removed<br>;ViewInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector</code> <br>was removed<br>;ActivityInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ActivityInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector</code> <br>was removed<br>;DialogInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.DialogInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector</code> <br>was removed<br>;ApplicationInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ApplicationInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector</code> <br>was removed<br>;FragmentInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.FragmentInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.SupportFragmentInspector</code> <br>was removed<br>;SupportFragmentInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.SupportFragmentInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MessageQueueInspector</code> <br>was removed<br>;MessageQueueInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.MessageQueueInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MortarPresenterInspector</code> <br>was removed<br>;MortarPresenterInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.MortarPresenterInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.ViewImplInspector</code> <br>was removed<br>;ViewImplInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.ViewImplInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.MainThreadInspector</code> <br>was removed<br>;MainThreadInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.MainThreadInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors.WindowInspector</code> <br>was removed<br>;WindowInspector;com.squareup.leakcanary.AndroidReachabilityInspectors.WindowInspector;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidDebuggerControl</code> <br>was removed<br>;AndroidDebuggerControl;com.squareup.leakcanary.AndroidDebuggerControl;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AbstractAnalysisResultService</code> <br>was removed<br>;AbstractAnalysisResultService;com.squareup.leakcanary.AbstractAnalysisResultService;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.DisplayLeakService</code> <br>was removed<br>;DisplayLeakService;com.squareup.leakcanary.DisplayLeakService;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.LeakDirectoryProvider</code> <br>was removed<br>;LeakDirectoryProvider;com.squareup.leakcanary.LeakDirectoryProvider;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.DefaultLeakDirectoryProvider</code> <br>was removed<br>;DefaultLeakDirectoryProvider;com.squareup.leakcanary.DefaultLeakDirectoryProvider;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.DebuggerControl</code> <br>was removed<br>;DebuggerControl;com.squareup.leakcanary.DebuggerControl;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidHeapDumper</code> <br>was removed<br>;AndroidHeapDumper;com.squareup.leakcanary.AndroidHeapDumper;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.CanaryLog</code> <br>was removed<br>;CanaryLog;com.squareup.leakcanary.CanaryLog;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.CanaryLog.Logger</code> <br>was removed<br>;Logger;com.squareup.leakcanary.CanaryLog.Logger;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.HeapDumper</code> <br>was removed<br>;HeapDumper;com.squareup.leakcanary.HeapDumper;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AnalyzedHeap</code> <br>was removed<br>;AnalyzedHeap;com.squareup.leakcanary.AnalyzedHeap;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.GcTrigger</code> <br>was removed<br>;GcTrigger;com.squareup.leakcanary.GcTrigger;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.Reachability.Status</code> <br>was removed<br>;Status;com.squareup.leakcanary.Reachability.Status;true;false;false
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidReachabilityInspectors</code> <br>was removed<br>;AndroidReachabilityInspectors;com.squareup.leakcanary.AndroidReachabilityInspectors;true;false;true
b4bd17834a1c1718247adcab296df8b23a2bcaee;Remove Type;Type;<br>type <code>com.squareup.leakcanary.AndroidExcludedRefs</code> <br>was removed<br>;AndroidExcludedRefs;com.squareup.leakcanary.AndroidExcludedRefs;true;false;true
