commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;;isEqualBreakingChange;isEqualDeprecated;isEqualJavaDoc
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeDns</code><br>was removed<br>;;okhttp3.FakeDns;;;;;true;false;false;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeDns</code> <br>was removed<br>;okhttp3.FakeDns;okhttp3.FakeDns;;;;;true;false;false;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeProxySelector</code><br>was removed<br>;;okhttp3.FakeProxySelector;;;;;true;false;false;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeProxySelector</code> <br>was removed<br>;okhttp3.FakeProxySelector;okhttp3.FakeProxySelector;;;;;true;false;false;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeSSLSession</code><br>was removed<br>;;okhttp3.FakeSSLSession;;;;;true;false;false;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeSSLSession</code> <br>was removed<br>;okhttp3.FakeSSLSession;okhttp3.FakeSSLSession;;;;;true;false;false;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingRequestBody</code><br>was removed<br>;;okhttp3.ForwardingRequestBody;;;;;true;false;false;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingRequestBody</code> <br>was removed<br>;okhttp3.ForwardingRequestBody;okhttp3.ForwardingRequestBody;;;;;true;false;false;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingResponseBody</code><br>was removed<br>;;okhttp3.ForwardingResponseBody;;;;;true;false;false;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingResponseBody</code> <br>was removed<br>;okhttp3.ForwardingResponseBody;okhttp3.ForwardingResponseBody;;;;;true;false;false;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingCookieJar</code><br>was removed<br>;;okhttp3.RecordingCookieJar;;;;;true;false;false;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingCookieJar</code> <br>was removed<br>;okhttp3.RecordingCookieJar;okhttp3.RecordingCookieJar;;;;;true;false;false;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingHostnameVerifier</code><br>was removed<br>;;okhttp3.RecordingHostnameVerifier;;;;;true;false;false;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingHostnameVerifier</code> <br>was removed<br>;okhttp3.RecordingHostnameVerifier;okhttp3.RecordingHostnameVerifier;;;;;true;false;false;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseRequestInterceptor</code><br>was removed<br>;;okhttp3.UppercaseRequestInterceptor;;;;;true;false;true;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseRequestInterceptor</code> <br>was removed<br>;okhttp3.UppercaseRequestInterceptor;okhttp3.UppercaseRequestInterceptor;;;;;true;false;true;;true;true;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseResponseInterceptor</code><br>was removed<br>;;okhttp3.UppercaseResponseInterceptor;;;;;true;false;true;;b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseResponseInterceptor</code> <br>was removed<br>;okhttp3.UppercaseResponseInterceptor;okhttp3.UppercaseResponseInterceptor;;;;;true;false;true;;true;true;true
d52e2d34d61a6aada00677228263d337146f33da;Remove Type;Type;<br>type <code>okhttp3.RecordingEventListener</code><br>was removed<br>;;okhttp3.RecordingEventListener;;;;;true;false;false;;d52e2d34d61a6aada00677228263d337146f33da;Remove Type;Type;<br>type <code>okhttp3.RecordingEventListener</code> <br>was removed<br>;okhttp3.RecordingEventListener;okhttp3.RecordingEventListener;;;;;true;false;false;;true;true;true
58a0a363d0c5f7a7c2fb6736bf96b459f40d39c5;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.MockWebServer</code><br>was removed<br>;;okhttp3.mockwebserver.MockWebServer;;;;;true;false;true;;58a0a363d0c5f7a7c2fb6736bf96b459f40d39c5;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.MockWebServer</code> <br>was removed<br>;okhttp3.mockwebserver.MockWebServer;okhttp3.mockwebserver.MockWebServer;;;;;true;false;true;;true;true;true
a49b636e342d96731457c0c300e34fc014b1f7e8;Remove Type;Type;<br>type <code>okhttp3.curl.Main</code><br>was removed<br>;;okhttp3.curl.Main;;;;;true;false;false;;a49b636e342d96731457c0c300e34fc014b1f7e8;Remove Type;Type;<br>type <code>okhttp3.curl.Main</code> <br>was removed<br>;okhttp3.curl.Main;okhttp3.curl.Main;;;;;true;false;false;;true;true;true
9f9cbdecead12cc0f0b14c003fddbcc5f2bb20c4;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.MockResponse</code><br>was removed<br>;;okhttp3.mockwebserver.MockResponse;;;;;true;false;true;;9f9cbdecead12cc0f0b14c003fddbcc5f2bb20c4;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.MockResponse</code> <br>was removed<br>;okhttp3.mockwebserver.MockResponse;okhttp3.mockwebserver.MockResponse;;;;;true;false;true;;true;true;true
981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.PushPromise</code><br>was removed<br>;;okhttp3.mockwebserver.PushPromise;;;;;true;false;true;;981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.PushPromise</code> <br>was removed<br>;okhttp3.mockwebserver.PushPromise;okhttp3.mockwebserver.PushPromise;;;;;true;false;true;;true;true;true
981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.RecordedRequest</code><br>was removed<br>;;okhttp3.mockwebserver.RecordedRequest;;;;;true;false;true;;981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.RecordedRequest</code> <br>was removed<br>;okhttp3.mockwebserver.RecordedRequest;okhttp3.mockwebserver.RecordedRequest;;;;;true;false;true;;true;true;true
981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.SocketPolicy</code><br>was removed<br>;;okhttp3.mockwebserver.SocketPolicy;;;;;true;false;true;;981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.SocketPolicy</code> <br>was removed<br>;okhttp3.mockwebserver.SocketPolicy;okhttp3.mockwebserver.SocketPolicy;;;;;true;false;true;;true;true;true
905b53b6f3695e8bf5ac44b9163203d795120c90;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.Dispatcher</code><br>was removed<br>;;okhttp3.mockwebserver.Dispatcher;;;;;true;false;true;;905b53b6f3695e8bf5ac44b9163203d795120c90;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.Dispatcher</code> <br>was removed<br>;okhttp3.mockwebserver.Dispatcher;okhttp3.mockwebserver.Dispatcher;;;;;true;false;true;;true;true;true
905b53b6f3695e8bf5ac44b9163203d795120c90;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.QueueDispatcher</code><br>was removed<br>;;okhttp3.mockwebserver.QueueDispatcher;;;;;true;false;true;;905b53b6f3695e8bf5ac44b9163203d795120c90;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.QueueDispatcher</code> <br>was removed<br>;okhttp3.mockwebserver.QueueDispatcher;okhttp3.mockwebserver.QueueDispatcher;;;;;true;false;true;;true;true;true
ab85960cdbfb0257addc8e9f772bd647a051ca8e;Remove Type;Type;<br>type <code>okhttp3.JavaNetAuthenticator</code><br>was removed<br>;;okhttp3.JavaNetAuthenticator;;;;;true;false;true;;ab85960cdbfb0257addc8e9f772bd647a051ca8e;Remove Type;Type;<br>type <code>okhttp3.JavaNetAuthenticator</code> <br>was removed<br>;okhttp3.JavaNetAuthenticator;okhttp3.JavaNetAuthenticator;;;;;true;false;true;;true;true;true
34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSource</code><br>was removed<br>;;okhttp3.sse.EventSource;;;;;true;false;false;;34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSource</code> <br>was removed<br>;okhttp3.sse.EventSource;okhttp3.sse.EventSource;;;;;true;false;false;;true;true;true
34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSourceListener</code><br>was removed<br>;;okhttp3.sse.EventSourceListener;;;;;true;false;false;;34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSourceListener</code> <br>was removed<br>;okhttp3.sse.EventSourceListener;okhttp3.sse.EventSourceListener;;;;;true;false;false;;true;true;true
34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSources</code><br>was removed<br>;;okhttp3.sse.EventSources;;;;;true;false;false;;34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSources</code> <br>was removed<br>;okhttp3.sse.EventSources;okhttp3.sse.EventSources;;;;;true;false;false;;true;true;true
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HeldCertificate.Builder</code><br>was removed<br>;;okhttp3.tls.HeldCertificate.Builder;;;;;true;false;true;;6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HeldCertificate.Builder</code> <br>was removed<br>;okhttp3.tls.HeldCertificate.Builder;okhttp3.tls.HeldCertificate.Builder;;;;;true;false;true;;true;true;true
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HandshakeCertificates.Builder</code><br>was removed<br>;;okhttp3.tls.HandshakeCertificates.Builder;;;;;true;false;false;;6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HandshakeCertificates.Builder</code> <br>was removed<br>;okhttp3.tls.HandshakeCertificates.Builder;okhttp3.tls.HandshakeCertificates.Builder;;;;;true;false;false;;true;true;true
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HeldCertificate</code><br>was removed<br>;;okhttp3.tls.HeldCertificate;;;;;true;false;true;;6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HeldCertificate</code> <br>was removed<br>;okhttp3.tls.HeldCertificate;okhttp3.tls.HeldCertificate;;;;;true;false;true;;true;true;true
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HandshakeCertificates</code><br>was removed<br>;;okhttp3.tls.HandshakeCertificates;;;;;true;false;true;;6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HandshakeCertificates</code> <br>was removed<br>;okhttp3.tls.HandshakeCertificates;okhttp3.tls.HandshakeCertificates;;;;;true;false;true;;true;true;true
