category;common;onlyAPIMiner;onlyAPIDiff
Add Type;184;60;18
Remove Type;142;64;7
Add Method;445;129;178
Remove Method;112;140;97
Add Field;132;6;0
Remove Field;5;5;58
Gain Visibility in Type;7;4;1
Lost Visibility in Type;6;2;0
Gain Visibility in Method;29;16;30
Lost Visibility in Method;43;7;12
Gain Visibility in Field;0;0;115
Lost Visibility in Field;1;1;3
Add Final Modifier in Type;0;0;13
Remove Final Modifier in Type;0;0;7
Add Final Modifier in Method;40;0;0
Remove Final Modifier in Method;41;0;0
Add Final Modifier in Field;0;1;0
Remove Final Modifier in Field;0;1;0
Add Static Modifier in Type;0;0;1
Remove Static Modifier in Type;0;0;0
Add Static Modifier in Method;2;4;0
Remove Static Modifier in Method;0;5;0
Add Static Modifier in Field;0;0;0
Remove Static Modifier in Field;0;0;0
Deprecated Type;0;0;2
Deprecated Method;7;5;47
Deprecated Field;0;0;1
Change in Supertype;2;2;0
Remove Supertype;1;0;1
Add Supertype;2;2;0
Change in Exception List;31;21;1
Change in Field Default Value;232;12;11
Rename Type;9;6;4
Move Type;62;34;50
Move and Rename Type;3;7;2
Extract Supertype;0;1;0
Extract Type;0;10;0
Extract Subtype;0;0;0
Move Method;14;13;22
Extract Method;0;44;0
Rename Method;95;41;15
Pull Up Method;0;0;0
Push Down Method;0;6;1
Inline Method;4;8;49
Move and Rename Method;0;11;0
Change in Parameter List;0;127;0
Change in Return Type Method;44;51;2
Rename Field;0;3;0
Move Field;0;7;3
Pull Up Field;0;0;0
Push Down Field;0;0;3
Move and Rename Field;0;0;0
Extract Field;0;0;0
Change in Field Type;0;8;0
