commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;element;path
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeProxySelector</code> <br>was removed<br>;okhttp3.FakeProxySelector;okhttp3.FakeProxySelector;;;;;true;false;false;FakeProxySelector;okhttp3.FakeProxySelector
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingRequestBody</code> <br>was removed<br>;okhttp3.ForwardingRequestBody;okhttp3.ForwardingRequestBody;;;;;true;false;false;ForwardingRequestBody;okhttp3.ForwardingRequestBody
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeSSLSession</code> <br>was removed<br>;okhttp3.FakeSSLSession;okhttp3.FakeSSLSession;;;;;true;false;false;FakeSSLSession;okhttp3.FakeSSLSession
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseRequestInterceptor</code> <br>was removed<br>;okhttp3.UppercaseRequestInterceptor;okhttp3.UppercaseRequestInterceptor;;;;;true;false;true;UppercaseRequestInterceptor;okhttp3.UppercaseRequestInterceptor
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingResponseBody</code> <br>was removed<br>;okhttp3.ForwardingResponseBody;okhttp3.ForwardingResponseBody;;;;;true;false;false;ForwardingResponseBody;okhttp3.ForwardingResponseBody
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseResponseInterceptor</code> <br>was removed<br>;okhttp3.UppercaseResponseInterceptor;okhttp3.UppercaseResponseInterceptor;;;;;true;false;true;UppercaseResponseInterceptor;okhttp3.UppercaseResponseInterceptor
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingCookieJar</code> <br>was removed<br>;okhttp3.RecordingCookieJar;okhttp3.RecordingCookieJar;;;;;true;false;false;RecordingCookieJar;okhttp3.RecordingCookieJar
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingHostnameVerifier</code> <br>was removed<br>;okhttp3.RecordingHostnameVerifier;okhttp3.RecordingHostnameVerifier;;;;;true;false;false;RecordingHostnameVerifier;okhttp3.RecordingHostnameVerifier
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeDns</code> <br>was removed<br>;okhttp3.FakeDns;okhttp3.FakeDns;;;;;true;false;false;FakeDns;okhttp3.FakeDns
d52e2d34d61a6aada00677228263d337146f33da;Remove Type;Type;<br>type <code>okhttp3.RecordingEventListener</code> <br>was removed<br>;okhttp3.RecordingEventListener;okhttp3.RecordingEventListener;;;;;true;false;false;RecordingEventListener;okhttp3.RecordingEventListener
