commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
1b60e3739c49a8ce9fb1e2ec6c357fe6a3feaa3a;Add Type;Type;<br>Type <code>okhttp3.RecordingEventListener</code> added<br>;;;okhttp3.RecordingEventListener;okhttp3.RecordingEventListener;;;false;false;false
ad5d6b8a7b677ab28345ed05be8f5403260e6baa;Remove Type;Type;<br>type <code>okhttp3.OkHttpClientTestRule</code> <br>was removed<br>;okhttp3.OkHttpClientTestRule;okhttp3.OkHttpClientTestRule;;;;;true;false;false
018510fa4054f0c57d004847f39a1fad12ad8b12;Rename Type;Type;type <code>okhttp3.OkHttpClientTestingRule</code><br>renamed to<br><code>okhttp3.OkHttpClientTestRule</code><br>;okhttp3.OkHttpClientTestingRule;okhttp3.OkHttpClientTestingRule;okhttp3.OkHttpClientTestRule;okhttp3.OkHttpClientTestRule;;;true;false;false
aca6785440dee8ab1084308ddd66d0f6ec5b34df;Add Type;Type;<br>Type <code>okhttp3.OkHttpClientTestingRule</code> added<br>;;;okhttp3.OkHttpClientTestingRule;okhttp3.OkHttpClientTestingRule;;;false;false;false
8ba6323b7e5980afce86c62caa9c8d65772c05e3;Add Final Modifier in Type;Type;type <code>okhttp3.tls.TlsNode.Builder</code><br>received the modifier <code>final</code><br>;;;okhttp3.tls.TlsNode.Builder;okhttp3.tls.TlsNode.Builder;;;true;false;false
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Remove Type;Type;<br>type <code>okhttp3.NewWebSocket</code> <br>was removed<br>;okhttp3.NewWebSocket;okhttp3.NewWebSocket;;;;;true;false;true
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Add Type;Type;<br>Type <code>okhttp3.WebSocketListener</code> added<br>;;;okhttp3.WebSocketListener;okhttp3.WebSocketListener;;;false;false;false
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Add Type;Type;<br>Type <code>okhttp3.WebSocket</code> added<br>;;;okhttp3.WebSocket;okhttp3.WebSocket;;;false;false;true
508eb90b3c8d494686651bc423838f5750f60c92;Gain Visibility in Type;Type;<br> type <code>okhttp3.RealWebSocketCall.StreamWebSocket</code><br> changed visibility from <code>private</code> to <code>default</code><br>;;;okhttp3.RealWebSocketCall.StreamWebSocket;okhttp3.RealWebSocketCall.StreamWebSocket;private;default;false;false;false
039bcf92dbff48d1162016f8cf4ba08a99071717;Add Type;Type;<br>Type <code>okhttp3.WebSocketCall</code> added<br>;;;okhttp3.WebSocketCall;okhttp3.WebSocketCall;;;false;false;false
ebd7834c3fa611a2123cd7e5e1fe381fd20dba49;Remove Supertype;Type;<br><code>okhttp3.CipherSuite</code><br>removed superClass java.lang.Enum</code><br>;;;okhttp3.CipherSuite;okhttp3.CipherSuite;java.lang.Enum;;true;false;true
ebd7834c3fa611a2123cd7e5e1fe381fd20dba49;Add Final Modifier in Type;Type;type <code>okhttp3.CipherSuite</code><br>received the modifier <code>final</code><br>;;;okhttp3.CipherSuite;okhttp3.CipherSuite;;;true;false;true
