commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
39f42f2202d7819cb2effb24036a8ec8e14bbdbb;Add Type;Type;<br>type <code>okhttp3.DelegatingSSLSession</code> added<br>;;;;okhttp3.DelegatingSSLSession;;;false;false;true
4aca390e594f2683977384e05deb87ab9b4c2c07;Remove Type;Type;<br>type <code>okhttp3.AbstractResponseCache</code><br>was removed<br>;;okhttp3.AbstractResponseCache;;;;;true;false;false
4aca390e594f2683977384e05deb87ab9b4c2c07;Remove Type;Type;<br>type <code>okhttp3.android.HttpResponseCache</code><br>was removed<br>;;okhttp3.android.HttpResponseCache;;;;;true;false;true
0a8f4186440d7635eb19fdf7e685126fd0b00486;Add Type;Type;<br>type <code>okhttp3.recipes.PreemptiveAuth</code> added<br>;;;;okhttp3.recipes.PreemptiveAuth;;;false;false;false
c951e6ed887ad8b9595652f39dad646590b22037;Add Type;Type;<br>type <code>okhttp3.recipes.CurrentDateHeader</code> added<br>;;;;okhttp3.recipes.CurrentDateHeader;;;false;false;false
c07b8fddc9c2da9744e112aec54e1a5c3b957bb6;Add Type;Type;<br>type <code>okhttp3.recipes.HttpsServer</code> added<br>;;;;okhttp3.recipes.HttpsServer;;;false;false;true
5b37cda9e00626f43acf354df145fd452c3031f1;Add Type;Type;<br>type <code>okhttp3.dnsoverhttps.DohProviders</code> added<br>;;;;okhttp3.dnsoverhttps.DohProviders;;;false;false;true
44efb0990478ee25e371549693a5a1062d74ca3f;Add Type;Type;<br>type <code>okhttp3.unixdomainsockets.ClientAndServer</code> added<br>;;;;okhttp3.unixdomainsockets.ClientAndServer;;;false;false;true
44efb0990478ee25e371549693a5a1062d74ca3f;Add Type;Type;<br>type <code>okhttp3.unixdomainsockets.UnixDomainServerSocketFactory</code> added<br>;;;;okhttp3.unixdomainsockets.UnixDomainServerSocketFactory;;;false;false;true
44efb0990478ee25e371549693a5a1062d74ca3f;Add Type;Type;<br>type <code>okhttp3.unixdomainsockets.UnixDomainSocketFactory</code> added<br>;;;;okhttp3.unixdomainsockets.UnixDomainSocketFactory;;;false;false;true
af6198a1e992b55ff4d16dcaeeacbb4e90e29c8a;Remove Type;Type;<br>type <code>okhttp3.NullServer</code><br>was removed<br>;;okhttp3.NullServer;;;;;true;false;false
a15519d09eff3ad0c992e7ce76dec02a66a9cf9c;Add Type;Type;<br>type <code>okhttp3.RecordingWebSocketListener</code> added<br>;;;;okhttp3.RecordingWebSocketListener;;;false;false;false
b926a030c628e9014ef2ab6b63515f2f3df0fa20;Add Type;Type;<br>type <code>okhttp3.recipes.PrintEvents</code> added<br>;;;;okhttp3.recipes.PrintEvents;;;false;false;false
b926a030c628e9014ef2ab6b63515f2f3df0fa20;Add Type;Type;<br>type <code>okhttp3.recipes.PrintEventsNonConcurrent</code> added<br>;;;;okhttp3.recipes.PrintEventsNonConcurrent;;;false;false;true
c254a9a6bff57f5258f322ca277f5e3530564e09;Gain Visibility in Type;Type;<br>type <code>okhttp3.RecordingEventListener</code><br>changed visibility from <code>default</code>to <code>public</code><br>;;okhttp3.RecordingEventListener;;okhttp3.RecordingEventListener;default;public;false;false;false
1d8233ddb7a0dfa490a340a06433909148f21610;Add Type;Type;<br>type <code>okhttp3.NullServer</code> added<br>;;;;okhttp3.NullServer;;;false;false;false
2d37490174c29a20dd49ddf4d55d4f995c545504;Add Type;Type;<br>type <code>okhttp3.recipes.PostStreamingWithPipe</code> added<br>;;;;okhttp3.recipes.PostStreamingWithPipe;;;false;false;false
bb0f81e1b8be129458a2c4cbc7c8a73f9baa8f49;Add Type;Type;<br>type <code>okhttp3.recipes.CustomCipherSuites</code> added<br>;;;;okhttp3.recipes.CustomCipherSuites;;;false;false;false
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Change in Supertype;Type;<br>type <code>okhttp3.recipes.WebSocketEcho</code><br>changed the superType<br>from <code>NewWebSocket.Listener</code><br>to <code>WebSocketListener</code><br>;;okhttp3.recipes.WebSocketEcho;;okhttp3.recipes.WebSocketEcho;NewWebSocket.Listener;WebSocketListener;true;false;false
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Change in Supertype;Type;<br>type <code>okhttp3.slack.RtmSession</code><br>changed the superType<br>from <code>NewWebSocket.Listener</code><br>to <code>WebSocketListener</code><br>;;okhttp3.slack.RtmSession;;okhttp3.slack.RtmSession;NewWebSocket.Listener;WebSocketListener;true;false;true
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Rename Type;Type;<br>type <code>okhttp3.NewWebSocket</code><br>renamed to<br><code>okhttp3.WebSocket</code><br>;;okhttp3.NewWebSocket;;okhttp3.WebSocket;;;true;false;true
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Move and Rename Type;Type;<br>type <code>okhttp3.NewWebSocket.Listener</code><br>moved and renamed to<br><code>okhttp3.WebSocketListener</code><br>;;okhttp3.NewWebSocket.Listener;;okhttp3.WebSocketListener;;;false;false;false
949439ae5b0c5fd70687d1f946cac80552a5a7f9;Gain Visibility in Type;Type;<br>type <code>okhttp3.WebSocketListener</code><br>changed visibility from <code>default</code>to <code>public</code><br>;;okhttp3.NewWebSocket.Listener;;okhttp3.WebSocketListener;default;public;false;false;false
40dddb9dcf8ba654e16f6497020043b38b6d22a1;Add Supertype;Type;<br>type <code>okhttp3.recipes.WebSocketEcho</code><br>added superType <code>NewWebSocket.Listener</code><br>;;okhttp3.recipes.WebSocketEcho;;okhttp3.recipes.WebSocketEcho;;NewWebSocket.Listener;false;false;false
40dddb9dcf8ba654e16f6497020043b38b6d22a1;Add Supertype;Type;<br>type <code>okhttp3.slack.RtmSession</code><br>added superType <code>NewWebSocket.Listener</code><br>;;okhttp3.slack.RtmSession;;okhttp3.slack.RtmSession;;NewWebSocket.Listener;false;false;true
ce695b67faa439ae1fb549e657fce316468bd560;Add Type;Type;<br>type <code>okhttp3.slack.OAuthSession</code> added<br>;;;;okhttp3.slack.OAuthSession;;;false;false;true
ce695b67faa439ae1fb549e657fce316468bd560;Add Type;Type;<br>type <code>okhttp3.slack.OAuthSessionFactory</code> added<br>;;;;okhttp3.slack.OAuthSessionFactory;;;false;false;true
