commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeProxySelector</code> <br>was removed<br>;FakeProxySelector;okhttp3.FakeProxySelector;true;false;false
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingRequestBody</code> <br>was removed<br>;ForwardingRequestBody;okhttp3.ForwardingRequestBody;true;false;false
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeSSLSession</code> <br>was removed<br>;FakeSSLSession;okhttp3.FakeSSLSession;true;false;false
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseRequestInterceptor</code> <br>was removed<br>;UppercaseRequestInterceptor;okhttp3.UppercaseRequestInterceptor;true;false;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.ForwardingResponseBody</code> <br>was removed<br>;ForwardingResponseBody;okhttp3.ForwardingResponseBody;true;false;false
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.UppercaseResponseInterceptor</code> <br>was removed<br>;UppercaseResponseInterceptor;okhttp3.UppercaseResponseInterceptor;true;false;true
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingCookieJar</code> <br>was removed<br>;RecordingCookieJar;okhttp3.RecordingCookieJar;true;false;false
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.RecordingHostnameVerifier</code> <br>was removed<br>;RecordingHostnameVerifier;okhttp3.RecordingHostnameVerifier;true;false;false
b48d30aa5c1840fa06127ae85f495691814bfb62;Remove Type;Type;<br>type <code>okhttp3.FakeDns</code> <br>was removed<br>;FakeDns;okhttp3.FakeDns;true;false;false
d52e2d34d61a6aada00677228263d337146f33da;Remove Type;Type;<br>type <code>okhttp3.RecordingEventListener</code> <br>was removed<br>;RecordingEventListener;okhttp3.RecordingEventListener;true;false;false
1b60e3739c49a8ce9fb1e2ec6c357fe6a3feaa3a;Add Type;Type;<br>Type <code>okhttp3.RecordingEventListener</code> added<br>;RecordingEventListener;okhttp3.RecordingEventListener;false;false;false
ad5d6b8a7b677ab28345ed05be8f5403260e6baa;Remove Type;Type;<br>type <code>okhttp3.OkHttpClientTestRule</code> <br>was removed<br>;OkHttpClientTestRule;okhttp3.OkHttpClientTestRule;true;false;false
58a0a363d0c5f7a7c2fb6736bf96b459f40d39c5;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.MockWebServer</code> <br>was removed<br>;MockWebServer;okhttp3.mockwebserver.MockWebServer;true;false;true
a49b636e342d96731457c0c300e34fc014b1f7e8;Remove Type;Type;<br>type <code>okhttp3.curl.Main</code> <br>was removed<br>;Main;okhttp3.curl.Main;true;false;false
9f9cbdecead12cc0f0b14c003fddbcc5f2bb20c4;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.MockResponse</code> <br>was removed<br>;MockResponse;okhttp3.mockwebserver.MockResponse;true;false;true
981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.PushPromise</code> <br>was removed<br>;PushPromise;okhttp3.mockwebserver.PushPromise;true;false;true
981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.RecordedRequest</code> <br>was removed<br>;RecordedRequest;okhttp3.mockwebserver.RecordedRequest;true;false;true
981639ac558b716ba8d6b93dd402bdd401d27431;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.SocketPolicy</code> <br>was removed<br>;SocketPolicy;okhttp3.mockwebserver.SocketPolicy;true;false;true
905b53b6f3695e8bf5ac44b9163203d795120c90;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.QueueDispatcher</code> <br>was removed<br>;QueueDispatcher;okhttp3.mockwebserver.QueueDispatcher;true;false;true
905b53b6f3695e8bf5ac44b9163203d795120c90;Remove Type;Type;<br>type <code>okhttp3.mockwebserver.Dispatcher</code> <br>was removed<br>;Dispatcher;okhttp3.mockwebserver.Dispatcher;true;false;true
ab85960cdbfb0257addc8e9f772bd647a051ca8e;Remove Type;Type;<br>type <code>okhttp3.JavaNetAuthenticator</code> <br>was removed<br>;JavaNetAuthenticator;okhttp3.JavaNetAuthenticator;true;false;true
34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSourceListener</code> <br>was removed<br>;EventSourceListener;okhttp3.sse.EventSourceListener;true;false;false
34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSources</code> <br>was removed<br>;EventSources;okhttp3.sse.EventSources;true;false;false
34b1909cc78e90e6de7315957f77fe6a2f293fb6;Remove Type;Type;<br>type <code>okhttp3.sse.EventSource</code> <br>was removed<br>;EventSource;okhttp3.sse.EventSource;true;false;false
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HandshakeCertificates</code> <br>was removed<br>;HandshakeCertificates;okhttp3.tls.HandshakeCertificates;true;false;true
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HandshakeCertificates.Builder</code> <br>was removed<br>;Builder;okhttp3.tls.HandshakeCertificates.Builder;true;false;false
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HeldCertificate</code> <br>was removed<br>;HeldCertificate;okhttp3.tls.HeldCertificate;true;false;true
6ee3c89dabcf8574b10f1f8cafd5c2d7e942d8fe;Remove Type;Type;<br>type <code>okhttp3.tls.HeldCertificate.Builder</code> <br>was removed<br>;Builder;okhttp3.tls.HeldCertificate.Builder;true;false;true
5057eb7ba0c58fc25ba8f80ecb882f9bc0b0b8c9;Remove Type;Type;<br>type <code>okhttp3.MultipartBody</code> <br>was removed<br>;MultipartBody;okhttp3.MultipartBody;true;false;true
5057eb7ba0c58fc25ba8f80ecb882f9bc0b0b8c9;Remove Type;Type;<br>type <code>okhttp3.MultipartBody.Part</code> <br>was removed<br>;Part;okhttp3.MultipartBody.Part;true;false;false
5057eb7ba0c58fc25ba8f80ecb882f9bc0b0b8c9;Remove Type;Type;<br>type <code>okhttp3.MultipartBody.Builder</code> <br>was removed<br>;Builder;okhttp3.MultipartBody.Builder;true;false;false
8aba084482c05d511b2022e40025c97041915123;Remove Type;Type;<br>type <code>okhttp3.Dispatcher</code> <br>was removed<br>;Dispatcher;okhttp3.Dispatcher;true;false;true
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Response</code> <br>was removed<br>;Response;okhttp3.Response;true;false;true
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Response.Builder</code> <br>was removed<br>;Builder;okhttp3.Response.Builder;true;false;false
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.ResponseBody</code> <br>was removed<br>;ResponseBody;okhttp3.ResponseBody;true;false;true
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.RequestBody</code> <br>was removed<br>;RequestBody;okhttp3.RequestBody;true;false;false
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Request</code> <br>was removed<br>;Request;okhttp3.Request;true;false;true
1a6a972e0924dafe620e6e1b32b95c1399a2c35c;Remove Type;Type;<br>type <code>okhttp3.Request.Builder</code> <br>was removed<br>;Builder;okhttp3.Request.Builder;true;false;false
02914fbba1840deee8f6f4132f9bed39708052a3;Remove Type;Type;<br>type <code>okhttp3.logging.HttpLoggingInterceptor</code> <br>was removed<br>;HttpLoggingInterceptor;okhttp3.logging.HttpLoggingInterceptor;true;false;true
