commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc;element;path
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava3.HttpException</code> added<br>;;;retrofit2.adapter.rxjava3.HttpException;retrofit2.adapter.rxjava3.HttpException;;;false;true;true;HttpException;retrofit2.adapter.rxjava3.HttpException
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava3.Result</code> added<br>;;;retrofit2.adapter.rxjava3.Result;retrofit2.adapter.rxjava3.Result;;;false;false;true;Result;retrofit2.adapter.rxjava3.Result
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory</code> added<br>;;;retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory;retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory;;;false;false;true;RxJava3CallAdapterFactory;retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory
47ebf3e63e13986738fa4f6e54ddba26b38bf181;Gain Visibility in Type;Type;<br> type <code>retrofit2.Utils.ParameterizedTypeImpl</code><br> changed visibility from <code>private</code> to <code>default</code><br>;;;retrofit2.Utils.ParameterizedTypeImpl;retrofit2.Utils.ParameterizedTypeImpl;private;default;false;false;false;ParameterizedTypeImpl;retrofit2.Utils.ParameterizedTypeImpl
5bcf32637e0644aaa59c82ad989df2be5ef00e71;Deprecated Type;Type;<br> type retrofit.converter.java8.Java8OptionalConverterFactory <code> was deprecated<br>;;;retrofit.converter.java8.Java8OptionalConverterFactory;retrofit.converter.java8.Java8OptionalConverterFactory;;;false;false;true;Java8OptionalConverterFactory;retrofit.converter.java8.Java8OptionalConverterFactory
6cd571919f7a2a6e8f138bdd593e7ab3d174bb21;Deprecated Type;Type;<br> type retrofit2.adapter.java8.Java8CallAdapterFactory <code> was deprecated<br>;;;retrofit2.adapter.java8.Java8CallAdapterFactory;retrofit2.adapter.java8.Java8CallAdapterFactory;;;false;false;true;Java8CallAdapterFactory;retrofit2.adapter.java8.Java8CallAdapterFactory
2b70ceb62aedf8a16d7db500b02e9498dc198835;Add Type;Type;<br>Type <code>retrofit2.Invocation</code> added<br>;;;retrofit2.Invocation;retrofit2.Invocation;;;false;false;true;Invocation;retrofit2.Invocation
16e46b1c77362ef0cba9ec2a096f57d4bc0913ac;Lost Visibility in Type;Type;<br> type <code>retrofit2.ServiceMethod.Builder</code><br> changed visibility from <code>default</code> to <code>private</code><br>;;;retrofit2.ServiceMethod.Builder;retrofit2.ServiceMethod.Builder;default;private;false;false;true;Builder;retrofit2.ServiceMethod.Builder
3bf38ec449d7ee3342be5559630bbeedfe5332da;Move Type;Type;<br>type <code>retrofit2.converter.scala.ScalaCallAdapterFactory</code><br>moved to<br><code>retrofit2.adapter.scala.ScalaCallAdapterFactory</code><br>;retrofit2.converter.scala.ScalaCallAdapterFactory;retrofit2.converter.scala.ScalaCallAdapterFactory;retrofit2.adapter.scala.ScalaCallAdapterFactory;retrofit2.adapter.scala.ScalaCallAdapterFactory;;;true;false;true;ScalaCallAdapterFactory;retrofit2.converter.scala.ScalaCallAdapterFactory
9d48466db40d5a89289cdc6d3b86e401f87d4445;Add Type;Type;<br>Type <code>retrofit2.converter.jaxb.JaxbConverterFactory</code> added<br>;;;retrofit2.converter.jaxb.JaxbConverterFactory;retrofit2.converter.jaxb.JaxbConverterFactory;;;false;false;true;JaxbConverterFactory;retrofit2.converter.jaxb.JaxbConverterFactory
