commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
47ebf3e63e13986738fa4f6e54ddba26b38bf181;Gain Visibility in Type;Type;<br> type <code>retrofit2.Utils.ParameterizedTypeImpl</code><br> changed visibility from <code>private</code> to <code>default</code><br>;;;retrofit2.Utils.ParameterizedTypeImpl;retrofit2.Utils.ParameterizedTypeImpl;private;default;false;false;false
16e46b1c77362ef0cba9ec2a096f57d4bc0913ac;Lost Visibility in Type;Type;<br> type <code>retrofit2.ServiceMethod.Builder</code><br> changed visibility from <code>default</code> to <code>private</code><br>;;;retrofit2.ServiceMethod.Builder;retrofit2.ServiceMethod.Builder;default;private;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Add Type;Type;<br>Type <code>retrofit2.HttpException</code> added<br>;;;retrofit2.HttpException;retrofit2.HttpException;;;false;false;true
8c97b851facbbb14d7d47d128679ded9dad99776;Remove Type;Type;<br>type <code>retrofit2.Result</code> <br>was removed<br>;retrofit2.Result;retrofit2.Result;;;;;true;false;true
8c97b851facbbb14d7d47d128679ded9dad99776;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava.Result</code> added<br>;;;retrofit2.adapter.rxjava.Result;retrofit2.adapter.rxjava.Result;;;false;false;true
d1ca096e03fbc57665cfad652cfff90966c29272;Rename Type;Type;type <code>retrofit.mock.ObservableBehaviorAdapter</code><br>renamed to<br><code>retrofit.mock.SingleHelper</code><br>;retrofit.mock.ObservableBehaviorAdapter;retrofit.mock.ObservableBehaviorAdapter;retrofit.mock.SingleHelper;retrofit.mock.SingleHelper;;;true;false;false
d1ca096e03fbc57665cfad652cfff90966c29272;Add Type;Type;<br>Type <code>retrofit.mock.RxJavaBehaviorAdapter</code> added<br>;;;retrofit.mock.RxJavaBehaviorAdapter;retrofit.mock.RxJavaBehaviorAdapter;;;false;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Remove Type;Type;<br>type <code>retrofit.MockRetrofit</code> <br>was removed<br>;retrofit.MockRetrofit;retrofit.MockRetrofit;;;;;true;false;true
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.CallBehaviorAdapter</code> added<br>;;;retrofit.mock.CallBehaviorAdapter;retrofit.mock.CallBehaviorAdapter;;;false;false;false
7e499539232eb68ac70a48bc6f720d62eb836c27;Add Type;Type;<br>Type <code>retrofit.mock.Behavior</code> added<br>;;;retrofit.mock.Behavior;retrofit.mock.Behavior;;;false;false;false
b549160942450e235fe0bc4fdd56eff182acc542;Add Final Modifier in Type;Type;type <code>retrofit.Retrofit.Builder</code><br>received the modifier <code>final</code><br>;;;retrofit.Retrofit.Builder;retrofit.Retrofit.Builder;;;true;false;true
72c2233840b1fac323b8f227ab77dfdc7edbbb95;Gain Visibility in Type;Type;<br> type <code>retrofit.Platform.Android</code><br> changed visibility from <code>private</code> to <code>default</code><br>;;;retrofit.Platform.Android;retrofit.Platform.Android;private;default;false;false;true
