commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingCompletableObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingCompletableObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingMaybeObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingMaybeObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingSingleObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingSingleObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingSubscriber.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingSubscriber.Rule;;;false;false;false
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos;;;;;true;false;false
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.PhoneOrBuilder</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos.PhoneOrBuilder;;;;;true;false;false
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos.Phone;;;;;true;false;true
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone.Builder</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos.Phone.Builder;;;;;true;false;true
4f93cd8c6840c2a11ae9a25203d3b7ef178e8b39;Add Type;Type;<br>type <code>retrofit2.helpers.ObjectInstanceConverterFactory</code> added<br>;;;;retrofit2.helpers.ObjectInstanceConverterFactory;;;false;false;false
c5ba799c68387e79a6446351ecfe633c186d858b;Add Type;Type;<br>type <code>retrofit2.helpers.NullObjectConverterFactory</code> added<br>;;;;retrofit2.helpers.NullObjectConverterFactory;;;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Extract Supertype;Type;<br>extract superType <code>retrofit2.HttpException</code><br>from <code>retrofit2.adapter.guava.HttpException, retrofit2.adapter.java8.HttpException, retrofit2.adapter.rxjava.HttpException, retrofit2.adapter.rxjava2.HttpException</code><br>;;;;retrofit2.HttpException;retrofit2.adapter.guava.HttpException, retrofit2.adapter.java8.HttpException, retrofit2.adapter.rxjava.HttpException, retrofit2.adapter.rxjava2.HttpException;;false;false;true
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava2.RecordingCompletableObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava2.RecordingCompletableObserver.Rule;;;false;false;false
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava2.RecordingMaybeObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava2.RecordingMaybeObserver.Rule;;;false;false;false
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava2.RecordingObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava2.RecordingObserver.Rule;;;false;false;false
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava2.RecordingSingleObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava2.RecordingSingleObserver.Rule;;;false;false;false
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava2.RecordingSubscriber.Rule</code> added<br>;;;;retrofit2.adapter.rxjava2.RecordingSubscriber.Rule;;;false;false;false
eccfe208bcb7c54d357c60842aa6e33cc15424cd;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava.RecordingSubscriber.Rule</code> added<br>;;;;retrofit2.adapter.rxjava.RecordingSubscriber.Rule;;;false;false;false
c8c71edd3edf7ba9233cbe661654fd15402d537f;Change in Supertype;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone.Builder</code><br>changed the superType<br>from <code>GeneratedMessage.Builder<Builder></code><br>to <code>GeneratedMessage.ExtendableBuilder<retrofit2.converter.protobuf.PhoneProtos.Phone,Builder></code><br>;;retrofit2.converter.protobuf.PhoneProtos.Phone.Builder;;retrofit2.converter.protobuf.PhoneProtos.Phone.Builder;GeneratedMessage.Builder<Builder>;GeneratedMessage.ExtendableBuilder<retrofit2.converter.protobuf.PhoneProtos.Phone,Builder>;true;false;true
c8c71edd3edf7ba9233cbe661654fd15402d537f;Change in Supertype;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone</code><br>changed the superType<br>from <code>GeneratedMessage</code><br>to <code>GeneratedMessage.ExtendableMessage<Phone></code><br>;;retrofit2.converter.protobuf.PhoneProtos.Phone;;retrofit2.converter.protobuf.PhoneProtos.Phone;GeneratedMessage;GeneratedMessage.ExtendableMessage<Phone>;true;false;true
8c97b851facbbb14d7d47d128679ded9dad99776;Add Supertype;Type;<br>type <code>retrofit2.helpers.DelegatingCallAdapterFactory</code><br>added superType <code>CallAdapter.Factory</code><br>;;retrofit2.helpers.DelegatingCallAdapterFactory;;retrofit2.helpers.DelegatingCallAdapterFactory;;CallAdapter.Factory;false;false;false
8c97b851facbbb14d7d47d128679ded9dad99776;Add Supertype;Type;<br>type <code>retrofit2.helpers.NonMatchingCallAdapterFactory</code><br>added superType <code>CallAdapter.Factory</code><br>;;retrofit2.helpers.NonMatchingCallAdapterFactory;;retrofit2.helpers.NonMatchingCallAdapterFactory;;CallAdapter.Factory;false;false;false
8c97b851facbbb14d7d47d128679ded9dad99776;Move Type;Type;<br>type <code>retrofit2.Result</code><br>moved to<br><code>retrofit2.adapter.rxjava.Result</code><br>;;retrofit2.Result;;retrofit2.adapter.rxjava.Result;;;true;false;true
8c97b851facbbb14d7d47d128679ded9dad99776;Add Supertype;Type;<br>type <code>retrofit2.adapter.rxjava.RxJavaCallAdapterFactory</code><br>added superType <code>CallAdapter.Factory</code><br>;;retrofit2.RxJavaCallAdapterFactory;;retrofit2.adapter.rxjava.RxJavaCallAdapterFactory;;CallAdapter.Factory;true;false;true
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Move Type;Type;<br>type <code>retrofit2.PhoneProtos</code><br>moved to<br><code>retrofit2.converter.protobuf.PhoneProtos</code><br>;;retrofit2.PhoneProtos;;retrofit2.converter.protobuf.PhoneProtos;;;true;false;false
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Move Type;Type;<br>type <code>retrofit2.Phone</code><br>moved to<br><code>retrofit2.converter.wire.Phone</code><br>;;retrofit2.Phone;;retrofit2.converter.wire.Phone;;;true;false;false
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Remove Type;Type;<br>type <code>retrofit2.PhoneProtos.PhoneOrBuilder</code><br>was removed<br>;;retrofit2.PhoneProtos.PhoneOrBuilder;;;;;true;false;false
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Remove Type;Type;<br>type <code>retrofit2.PhoneProtos.Phone</code><br>was removed<br>;;retrofit2.PhoneProtos.Phone;;;;;true;false;true
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Remove Type;Type;<br>type <code>retrofit2.Phone.Builder</code><br>was removed<br>;;retrofit2.Phone.Builder;;;;;true;false;false
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Remove Type;Type;<br>type <code>retrofit2.PhoneProtos.Phone.Builder</code><br>was removed<br>;;retrofit2.PhoneProtos.Phone.Builder;;;;;true;false;true
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Add Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.PhoneOrBuilder</code> added<br>;;;;retrofit2.converter.protobuf.PhoneProtos.PhoneOrBuilder;;;false;false;false
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Add Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone.Builder</code> added<br>;;;;retrofit2.converter.protobuf.PhoneProtos.Phone.Builder;;;false;false;true
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Add Type;Type;<br>type <code>retrofit2.converter.wire.Phone.Builder</code> added<br>;;;;retrofit2.converter.wire.Phone.Builder;;;false;false;false
0e4fe60b4b5c19bb2a60e201b4518f988d4da613;Add Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone</code> added<br>;;;;retrofit2.converter.protobuf.PhoneProtos.Phone;;;false;false;true
