commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava3.HttpException</code> added<br>;HttpException;retrofit2.adapter.rxjava3.HttpException;false;true;true
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava3.Result</code> added<br>;Result;retrofit2.adapter.rxjava3.Result;false;false;true
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory</code> added<br>;RxJava3CallAdapterFactory;retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory;false;false;true
47ebf3e63e13986738fa4f6e54ddba26b38bf181;Gain Visibility in Type;Type;<br> type <code>retrofit2.Utils.ParameterizedTypeImpl</code><br> changed visibility from <code>private</code> to <code>default</code><br>;ParameterizedTypeImpl;retrofit2.Utils.ParameterizedTypeImpl;false;false;false
5bcf32637e0644aaa59c82ad989df2be5ef00e71;Deprecated Type;Type;<br> type retrofit.converter.java8.Java8OptionalConverterFactory <code> was deprecated<br>;Java8OptionalConverterFactory;retrofit.converter.java8.Java8OptionalConverterFactory;false;false;true
6cd571919f7a2a6e8f138bdd593e7ab3d174bb21;Deprecated Type;Type;<br> type retrofit2.adapter.java8.Java8CallAdapterFactory <code> was deprecated<br>;Java8CallAdapterFactory;retrofit2.adapter.java8.Java8CallAdapterFactory;false;false;true
2b70ceb62aedf8a16d7db500b02e9498dc198835;Add Type;Type;<br>Type <code>retrofit2.Invocation</code> added<br>;Invocation;retrofit2.Invocation;false;false;true
16e46b1c77362ef0cba9ec2a096f57d4bc0913ac;Lost Visibility in Type;Type;<br> type <code>retrofit2.ServiceMethod.Builder</code><br> changed visibility from <code>default</code> to <code>private</code><br>;Builder;retrofit2.ServiceMethod.Builder;false;false;true
3bf38ec449d7ee3342be5559630bbeedfe5332da;Move Type;Type;<br>type <code>retrofit2.converter.scala.ScalaCallAdapterFactory</code><br>moved to<br><code>retrofit2.adapter.scala.ScalaCallAdapterFactory</code><br>;ScalaCallAdapterFactory;retrofit2.converter.scala.ScalaCallAdapterFactory;true;false;true
9d48466db40d5a89289cdc6d3b86e401f87d4445;Add Type;Type;<br>Type <code>retrofit2.converter.jaxb.JaxbConverterFactory</code> added<br>;JaxbConverterFactory;retrofit2.converter.jaxb.JaxbConverterFactory;false;false;true
224a81b1fcf8361a96006e1a47c9c07055329418;Deprecated Type;Type;<br> type retrofit2.converter.simplexml.SimpleXmlConverterFactory <code> was deprecated<br>;SimpleXmlConverterFactory;retrofit2.converter.simplexml.SimpleXmlConverterFactory;false;false;true
130bcc7c419dbcea0faba84ff7dc34a74e7f11cb;Add Type;Type;<br>Type <code>retrofit2.converter.scala.ScalaCallAdapterFactory</code> added<br>;ScalaCallAdapterFactory;retrofit2.converter.scala.ScalaCallAdapterFactory;false;false;true
e985d5522462cdd759267b32e7f5212acef9580c;Add Type;Type;<br>Type <code>retrofit.converter.java8.Java8OptionalConverterFactory</code> added<br>;Java8OptionalConverterFactory;retrofit.converter.java8.Java8OptionalConverterFactory;false;false;true
e985d5522462cdd759267b32e7f5212acef9580c;Add Type;Type;<br>Type <code>retrofit.converter.guava.GuavaOptionalConverterFactory</code> added<br>;GuavaOptionalConverterFactory;retrofit.converter.guava.GuavaOptionalConverterFactory;false;false;true
db680757d19b9c3b608f70fa475a1c0953b048e3;Change in Supertype;Type;<br><code>retrofit2.HttpException</code><br>changed the superClass<br>from <code>retrofit2.Exception</code><br>to <code>retrofit2.RuntimeException</code><br>;HttpException;retrofit2.HttpException;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Add Type;Type;<br>Type <code>retrofit2.HttpException</code> added<br>;HttpException;retrofit2.HttpException;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Deprecated Type;Type;<br> type retrofit2.adapter.java8.HttpException <code> was deprecated<br>;HttpException;retrofit2.adapter.java8.HttpException;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Deprecated Type;Type;<br> type retrofit2.adapter.rxjava2.HttpException <code> was deprecated<br>;HttpException;retrofit2.adapter.rxjava2.HttpException;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Deprecated Type;Type;<br> type retrofit2.adapter.guava.HttpException <code> was deprecated<br>;HttpException;retrofit2.adapter.guava.HttpException;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Deprecated Type;Type;<br> type retrofit2.adapter.rxjava.HttpException <code> was deprecated<br>;HttpException;retrofit2.adapter.rxjava.HttpException;false;false;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Change in Supertype;Type;<br><code>retrofit2.adapter.java8.HttpException</code><br>changed the superClass<br>from <code>retrofit2.adapter.java8.Exception</code><br>to <code>retrofit2.HttpException</code><br>;HttpException;retrofit2.adapter.java8.HttpException;false;true;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Change in Supertype;Type;<br><code>retrofit2.adapter.rxjava2.HttpException</code><br>changed the superClass<br>from <code>retrofit2.adapter.rxjava2.Exception</code><br>to <code>retrofit2.HttpException</code><br>;HttpException;retrofit2.adapter.rxjava2.HttpException;false;true;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Change in Supertype;Type;<br><code>retrofit2.adapter.guava.HttpException</code><br>changed the superClass<br>from <code>retrofit2.adapter.guava.Exception</code><br>to <code>retrofit2.HttpException</code><br>;HttpException;retrofit2.adapter.guava.HttpException;false;true;true
4546d5d88a331db779e72fbf453bc5abd69edd2d;Change in Supertype;Type;<br><code>retrofit2.adapter.rxjava.HttpException</code><br>changed the superClass<br>from <code>retrofit2.adapter.rxjava.Exception</code><br>to <code>retrofit2.HttpException</code><br>;HttpException;retrofit2.adapter.rxjava.HttpException;false;true;true
98d622aa8cb1dbf8ba0a055b641968af556b9105;Remove Type;Type;<br>type <code>retrofit2.mock.NetworkBehavior.Adapter</code> <br>was removed<br>;Adapter;retrofit2.mock.NetworkBehavior.Adapter;true;false;true
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava2.RxJava2CallAdapterFactory</code> added<br>;RxJava2CallAdapterFactory;retrofit2.adapter.rxjava2.RxJava2CallAdapterFactory;false;false;true
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava2.HttpException</code> added<br>;HttpException;retrofit2.adapter.rxjava2.HttpException;false;false;true
c165a4a7349a3913807ec3277d70e7c68fc991bd;Add Type;Type;<br>Type <code>retrofit2.adapter.rxjava2.Result</code> added<br>;Result;retrofit2.adapter.rxjava2.Result;false;false;true
f5ec3fbc7332cc9e43da8f16c143f43be16c2210;Remove Type;Type;<br>type <code>retrofit2.BaseUrl</code> <br>was removed<br>;BaseUrl;retrofit2.BaseUrl;true;false;true
b001ff6f4c24c579699ebee9641a1044d888d13d;Add Type;Type;<br>Type <code>retrofit2.adapter.java8.HttpException</code> added<br>;HttpException;retrofit2.adapter.java8.HttpException;false;false;true
