commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.HttpException</code> added<br>;;;;retrofit2.adapter.rxjava3.HttpException;;;false;true;true
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.Result</code> added<br>;;;;retrofit2.adapter.rxjava3.Result;;;false;false;true
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory</code> added<br>;;;;retrofit2.adapter.rxjava3.RxJava3CallAdapterFactory;;;false;false;true
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingCompletableObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingCompletableObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingMaybeObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingMaybeObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingSingleObserver.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingSingleObserver.Rule;;;false;false;false
f68ceb45ac44878dfac7dc4d5f61b6de86b83659;Add Type;Type;<br>type <code>retrofit2.adapter.rxjava3.RecordingSubscriber.Rule</code> added<br>;;;;retrofit2.adapter.rxjava3.RecordingSubscriber.Rule;;;false;false;false
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos;;;;;true;false;false
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.PhoneOrBuilder</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos.PhoneOrBuilder;;;;;true;false;false
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos.Phone;;;;;true;false;true
4173f3a7d5027e567327ac5d50623ddbf9c3a66d;Remove Type;Type;<br>type <code>retrofit2.converter.protobuf.PhoneProtos.Phone.Builder</code><br>was removed<br>;;retrofit2.converter.protobuf.PhoneProtos.Phone.Builder;;;;;true;false;true
